"lemma","count","strong","lexicon"
"ἀγαπάω",142,"G00250","{'brief': 'I love', 'long': 'I love, wish well to, take pleasure in, long for; denotes the love of reason, esteem.'}"
"βλασφημέω",29,"G09870","{'brief': 'I speak evil against, blaspheme', 'long': 'I speak evil against, blaspheme, use abusive or scurrilous language about (God or men).'}"
"βλασφημία",18,"G09880","{'brief': 'abusive or scurrilous language, blasphemy', 'long': 'abusive or scurrilous language, blasphemy.'}"
"βλάσφημος",4,"G09890","{'brief': 'slanderous', 'long': 'slanderous; subst: a blasphemer.'}"
"μακάριος",49,"G31070","{'brief': 'happy, blessed', 'long': 'happy, blessed, to be envied.'}"
"εὐλογέω",41,"G21270","{'brief': 'I bless', 'long': '(lit: I speak well of) I bless; pass: I am blessed.'}"
"κατευλογέω",1,"G27205","{'brief': 'I make straight, direct', 'long': '(a) I make straight, (b) met: I put in the right way, direct.'}"
"εὐλογητός",8,"G21280","{'brief': 'worthy of praise, blessed', 'long': '(used only of God), blessed (as entitled to receive blessing from man), worthy of praise.'}"
"μακαρίζω",2,"G31060","{'brief': 'I deem happy', 'long': 'I bless, pronounce blessed or happy.'}"
"ἐνευλογέω",2,"G17570","{'brief': 'I bless', 'long': 'I bless (of God).'}"
"μακαρισμός",3,"G31080","{'brief': 'regarding as happy, blessed, or enviable', 'long': 'regarding as happy, blessed, or enviable.'}"
"εὐλογία",16,"G21290","{'brief': 'adulation, praise, blessing', 'long': 'adulation, praise, blessing, gift.'}"
"μακαριώτερος",1,"G31085","{'brief': 'regarding as happy, blessed, or enviable', 'long': 'regarding as happy, blessed, or enviable.'}"
"αἷμα",97,"G01290","{'brief': 'blood', 'long': 'blood (especially as shed).'}"
"σῶμα",142,"G49830","{'brief': 'body, flesh', 'long': 'body, flesh; the body of the Church.'}"
"πτῶμα",7,"G44300","{'brief': 'a carcass, corpse', 'long': 'a fall; a carcass, corpse, dead body.'}"
"σωματικός",2,"G49840","{'brief': 'bodily, corporeal', 'long': 'bodily, corporeal.'}"
"πειθαρχέω",2,"G39800","{'brief': 'I obey one in authority', 'long': 'I obey one in authority, conform to advice, obey, follow.'}"
"κατέχω",4,"G27220","{'brief': 'I hold fast, bind, restrain', 'long': '(a) I hold fast, bind, arrest, (b) I take possession of, lay hold of, (c) I hold back, detain, restrain, (d) I hold a ship, keep its head.'}"
"σύνσωμος",1,"G49540","{'brief': 'belonging to the same body', 'long': 'belonging to the same body; fig: of Jews and Gentiles belonging to the same Church.'}"
"κῶλον",1,"G29660","{'brief': 'a limb, bodies', 'long': 'a limb, member of a body; fig: a corpse, carcass.'}"
"παραδίδωμι",4,"G38600","{'brief': 'I hand over, deliver, betray', 'long': 'I hand over, pledge, hand down, deliver, commit, commend, betray, abandon.'}"
"δέω",52,"G12100","{'brief': 'I bind', 'long': 'I bind, tie, fasten; I impel, compel; I declare to be prohibited and unlawful.'}"
"δεσμεύω",3,"G11950","{'brief': 'I bind, put in chains', 'long': 'I bind, put in chains, tie together.'}"
"ὀφείλω",11,"G37840","{'brief': 'I owe, ought', 'long': 'I owe, ought.'}"
"δεσμός",18,"G11990","{'brief': 'a bond, chain', 'long': 'a bond, chain, imprisonment; a string or ligament, an impediment, infirmity.'}"
"καταδέω",1,"G26110","{'brief': 'I bind up', 'long': 'I bind up, bandage.'}"
"περιδέω",1,"G40190","{'brief': 'I bind around', 'long': 'I bind (tie) around.'}"
"σύνδεσμος",3,"G48860","{'brief': 'a band, bond', 'long': 'that which binds together; a band, bond.'}"
"ἀναθεματίζω",1,"G03320","{'brief': 'I curse, invoke curses', 'long': 'I curse, invoke curses, devote to destruction.'}"
"περίκειμαι",1,"G40290","{'brief': 'I surround, am surrounded with', 'long': 'I lie about, surround; I am encompassed, surrounded, or clothed with, am in submission to.'}"
"δουλεία",4,"G13970","{'brief': 'slavery, bondage', 'long': 'slavery, bondage.'}"
"συνκλείω",2,"G47880","{'brief': 'I enclose, shut in', 'long': 'I enclose, shut in, make subject to.'}"
"δουλόω",2,"G14020","{'brief': 'I enslave', 'long': 'I enslave.'}"
"δέσμιος",1,"G11980","{'brief': 'one bound, a prisoner', 'long': 'one bound, a prisoner.'}"
"συνδέω",1,"G48870","{'brief': 'I bind together', 'long': 'I bind together; pass: I am bound together with, as of prisoners in chains.'}"
"φείδομαι",4,"G53390","{'brief': 'I spare, abstain', 'long': 'I spare, abstain, forbear.'}"
"παλιγγενεσία",1,"G38240","{'brief': 'a new birth, regeneration', 'long': 'a new birth, regeneration, renewal.'}"
"γεννάω",26,"G10800","{'brief': 'I beget, bring forth, give birth to', 'long': 'I beget (of the male), (of the female) I bring forth, give birth to.'}"
"παλινγενεσία",1,"G38240","{'brief': 'a new birth, regeneration', 'long': 'a new birth, regeneration, renewal.'}"
"ἀναγεννάω",2,"G03130","{'brief': 'I beget again, beget into a new life', 'long': 'I beget again, beget into a new life.'}"
"ἀδελφός",343,"G00800","{'brief': 'a brother', 'long': 'a brother, member of the same religious community, especially a fellow-Christian.'}"
"ἀδελφότης",2,"G00810","{'brief': 'brotherhood', 'long': 'brotherhood (in the collective sense), the members of the Christian Church, Christendom.'}"
"λέγω",1538,"G30040","{'brief': 'I say, speak', 'long': '(denoting speech in progress), (a) I say, speak; I mean, mention, tell, (b) I call, name, especially in the pass., (c) I tell, command.'}"
"καλέω",142,"G25640","{'brief': 'I call, invite, name', 'long': '(a) I call, summon, invite, (b) I call, name.'}"
"προσκαλέω",29,"G43410","{'brief': 'I summon', 'long': 'I call to myself, summon.'}"
"ἐπικαλέω",29,"G19410","{'brief': 'I call by an additional name, appeal to', 'long': '(a) I call (name) by a supplementary (additional, alternative) name, (b) mid: I call upon, appeal to, address.'}"
"προσφωνέω",6,"G43770","{'brief': 'I call to, summon', 'long': 'I call to, summon; I call (out) to, address, give a speech to, harangue.'}"
"φωνέω",38,"G54550","{'brief': 'I crow, shout, summon', 'long': 'I give forth a sound, hence: (a) of a cock: I crow, (b) of men: I shout, (c) trans: I call (to myself), summon; I invite, address.'}"
"κλητός",10,"G28220","{'brief': 'called, summoned', 'long': 'called, invited, summoned by God to an office or to salvation.'}"
"συνκαλέω",7,"G47790","{'brief': 'I call together', 'long': 'I call together.'}"
"ἐπιλέγω",2,"G19510","{'brief': 'I call, choose for myself, am named', 'long': 'I call; mid: I choose for myself; pass: I am named.'}"
"μεταπέμπω",3,"G33430","{'brief': 'I send for, summon', 'long': 'I send for, summon.'}"
"μετακαλέω",3,"G33330","{'brief': 'I send for', 'long': 'mid: I summon to myself, send for.'}"
"χρηματίζω",5,"G55370","{'brief': 'I warn, am publicly called', 'long': ""(originally: I transact business), (a) act. of God: I warn; pass: I am warned by God (probably in response to an inquiry as to one's duty), (b) (I take a name from my public business, hence) I receive a name, am publicly called.""}"
"ὀνομάζω",7,"G36870","{'brief': 'I give a name to, mention', 'long': 'I give a name to, mention, call upon the name of.'}"
"παρακαλέω",80,"G38700","{'brief': 'I summon, entreat, admonish, comfort', 'long': '(a) I send for, summon, invite, (b) I beseech, entreat, beg, (c) I exhort, admonish, (d) I comfort, encourage, console.'}"
"κλῆσις",11,"G28210","{'brief': 'a calling, summons', 'long': 'a calling, invitation; in the NT, always of a divine call.'}"
"ψευδώνυμος",1,"G55810","{'brief': 'falsely named', 'long': 'falsely named, under a false name.'}"
"ἑκατόνταρχος",4,"G15430","{'brief': 'a centurion', 'long': 'a centurion of the Roman army.'}"
"ἑκατοντάρχης",16,"G15430","{'brief': 'a centurion', 'long': 'a centurion of the Roman army.'}"
"κεντυρίων",3,"G27600","{'brief': 'a centurion', 'long': 'a centurion, an officer commanding about a hundred infantry in the Roman army.'}"
"παιδίον",52,"G38130","{'brief': 'a little child, an infant', 'long': 'a little child, an infant, little one.'}"
"παῖς",15,"G38160","{'brief': 'a boy or girl child', 'long': '(a) a male child, boy, (b) a male slave, servant; thus: a servant of God, especially as a title of the Messiah, (c) a female child, girl.'}"
"τέκνον",100,"G50430","{'brief': 'a child, descendent, inhabitant', 'long': 'a child, descendent, inhabitant.'}"
"νήπιος",15,"G35160","{'brief': 'an infant, child, unlearned', 'long': 'unlearned, unenlightened; noun: an infant, child.'}"
"γέννημα",4,"G10810","{'brief': 'offspring, child, fruit', 'long': 'offspring, child, fruit.'}"
"σπέρμα",32,"G46900","{'brief': 'seed, offspring', 'long': '(a) seed, commonly of cereals, (b) offspring, descendents.'}"
"παιδιόθεν",1,"G38120","{'brief': 'from childhood', 'long': 'from childhood, from early boyhood.'}"
"βρέφος",7,"G10250","{'brief': 'infant, babe', 'long': 'infant, babe, child in arms.'}"
"μονογενής",1,"G34390","{'brief': 'only, only-begotten, unique', 'long': 'only, only-begotten; unique.'}"
"τεκνίον",8,"G50400","{'brief': 'a little child', 'long': 'a little child.'}"
"γένος",8,"G10850","{'brief': 'offspring, family, race, kind', 'long': 'offspring, family, race, nation, kind.'}"
"νηπιάζω",1,"G35150","{'brief': 'I am childish, infantile', 'long': 'I am childlike, childish, infantile.'}"
"τεκνογονία",1,"G50420","{'brief': 'child bearing', 'long': 'child bearing, the rearing of a family.'}"
"τεκνοτροφέω",1,"G50440","{'brief': 'I bring up children', 'long': 'I bring up children, rear young.'}"
"χριστός",534,"G55470","{'brief': 'anointed, the Messiah, the Christ', 'long': 'anointed; the Messiah, the Christ.'}"
"Μεσσίας",2,"G33230","{'brief': 'Messiah', 'long': 'Messiah, the Anointed One.'}"
"ἐκκλησία",114,"G15770","{'brief': 'an assembly, congregation, church', 'long': 'an assembly, congregation, church; the Church, the whole body of Christian believers.'}"
"καθαρός",27,"G25130","{'brief': 'clean, pure, unstained', 'long': 'clean, pure, unstained, either literally or ceremonially or spiritually; guiltless, innocent, upright.'}"
"καθαρίζω",30,"G25110","{'brief': 'I make clean', 'long': 'I cleanse, make clean, literally, ceremonially, or spiritually, according to context.'}"
"ἀκάθαρτος",30,"G01690","{'brief': 'unclean, impure', 'long': 'unclean, impure.'}"
"καθερίζω",1,"G25110","{'brief': 'I make clean', 'long': 'I cleanse, make clean, literally, ceremonially, or spiritually, according to context.'}"
"καθαρισμός",7,"G25120","{'brief': 'cleansing, purifying, purification', 'long': 'cleansing, purifying, purification, literal, ceremonial, or moral; met: expiation.'}"
"ἁγνίζω",7,"G00480","{'brief': 'I cleanse, purify', 'long': 'I cleanse, purify, either ceremonially, actually, or morally.'}"
"ἐκκαθαίρω",2,"G15710","{'brief': 'I clean out, clean thoroughly', 'long': 'I clean (cleanse) out, clean thoroughly.'}"
"λουτρόν",2,"G30670","{'brief': 'a bath, washing, baptism', 'long': 'a bath (of water, not the vessel), water for washing, washing.'}"
"ἐντέλλω",15,"G17810","{'brief': 'I give orders, command', 'long': 'I give orders (injunctions, instructions, commands).'}"
"ἐντολή",67,"G17850","{'brief': 'an ordinance, injunction, command', 'long': 'an ordinance, injunction, command, law.'}"
"κελεύω",26,"G27530","{'brief': 'I command, order', 'long': 'I command, order, direct, bid.'}"
"ἐμβριμάομαι",1,"G16900","{'brief': 'I snort, express indignant displeasure', 'long': 'I snort (with the notion of coercion springing out of displeasure, anger, indignation, antagonism), express indignant displeasure with some one; I charge sternly.'}"
"παραγγέλλω",30,"G38530","{'brief': 'I notify, command, charge', 'long': 'I notify, command, charge, entreat solemnly.'}"
"διατάσσω",8,"G12990","{'brief': 'I give orders to, prescribe', 'long': 'I give orders to, prescribe, arrange.'}"
"ἐπιτιμάω",14,"G20080","{'brief': 'I rebuke, chide, admonish, warn', 'long': '(a) I rebuke, chide, admonish, (b) I warn.'}"
"ἔνταλμα",3,"G17780","{'brief': 'an injunction, ordinance, precept', 'long': 'an injunction, ordinance, precept.'}"
"διαστέλλω",5,"G12910","{'brief': 'I give a commission, order', 'long': 'I give a commission (instructions), order; I admonish, prohibit.'}"
"συντάσσω",2,"G49290","{'brief': 'I arrange with, direct, appoint', 'long': 'I arrange with, direct, appoint, prescribe, ordain.'}"
"ἐπιτάσσω",10,"G20040","{'brief': 'I give order, command', 'long': 'I give order, command, charge.'}"
"παραγγελία",4,"G38520","{'brief': 'a command, charge', 'long': 'a command, charge, injunction; a precept, rule of living.'}"
"διαταγή",1,"G12960","{'brief': 'ordaining, ordinance, disposition', 'long': 'ordaining, ordinance, disposition.'}"
"ῥῆμα",26,"G44870","{'brief': 'a thing spoken', 'long': 'a thing spoken, (a) a word or saying of any kind, as command, report, promise, (b) a thing, matter, business.'}"
"διάταγμα",1,"G12970","{'brief': 'a mandate, decree', 'long': 'a mandate, decree, edict.'}"
"σπλαγχνίζω",12,"G46970","{'brief': 'I have pity on', 'long': 'I feel compassion, have pity on, am moved.'}"
"οἰκτείρω",2,"G36270","{'brief': 'I pity, have compassion on', 'long': 'I pity, have compassion on.'}"
"οἰκτιρμός",5,"G36280","{'brief': 'pity, compassion', 'long': 'pity, compassion, favor, grace, mercy.'}"
"συνπαθέω",1,"G48340","{'brief': 'I sympathize with, have compassion on', 'long': 'I sympathize with, have compassion on.'}"
"οἰκτίρμων",3,"G36290","{'brief': 'compassionate, merciful', 'long': 'compassionate, merciful.'}"
"συνπαθής",1,"G48350","{'brief': 'sympathizing, compassionate', 'long': 'sympathizing, compassionate.'}"
"καταδικάζω",5,"G26130","{'brief': 'I condemn', 'long': 'I condemn, pass sentence upon.'}"
"κατακρίνω",16,"G26320","{'brief': 'I condemn', 'long': 'I condemn, judge worthy of punishment.'}"
"κρίμα",28,"G29170","{'brief': 'a judgment, verdict, lawsuit', 'long': '(a) a judgment, a verdict; sometimes implying an adverse verdict, a condemnation, (b) a case at law, a lawsuit.'}"
"κρίνω",112,"G29190","{'brief': 'I judge, decide, think good', 'long': '(a) I judge, whether in a law-court or privately: sometimes with cognate nouns emphasizing the notion of the verb, (b) I decide, I think (it) good.'}"
"κρίσις",47,"G29200","{'brief': 'judging, divine judgment', 'long': 'judging, judgment, decision, sentence; generally: divine judgment; accusation.'}"
"κατάκριμα",3,"G26310","{'brief': 'punishment following condemnation', 'long': 'punishment following condemnation, penal servitude, penalty.'}"
"κατάκρισις",2,"G26330","{'brief': 'the act of condemnation', 'long': 'condemnation, censure.'}"
"καταγινώσκω",3,"G26070","{'brief': 'I condemn, blame', 'long': 'I condemn, blame.'}"
"ἐξομολογέω",6,"G18430","{'brief': 'I consent fully, confess', 'long': '(a) I consent fully, agree out and out, (b) I confess, admit, acknowledge (cf. the early Hellenistic sense of the middle: I acknowledge a debt), (c) I give thanks, praise.'}"
"ὁμολογέω",26,"G36700","{'brief': 'I confess, profess, acknowledge, praise', 'long': '(a) I promise, agree, (b) I confess, (c) I publicly declare, (d) a Hebraism, I praise, celebrate.'}"
"ὁμολογία",6,"G36710","{'brief': 'a profession, confession', 'long': 'a profession, confession.'}"
"διαθήκη",33,"G12420","{'brief': 'a covenant, will, testament', 'long': '(a) a covenant between two parties, (b) (the ordinary, everyday sense [found a countless number of times in papyri]) a will, testament.'}"
"σταυρός",27,"G47160","{'brief': 'a cross', 'long': 'a cross.'}"
"σταυρόω",46,"G47170","{'brief': 'I crucify', 'long': 'I fix to the cross, crucify; fig: I destroy, mortify.'}"
"συνσταυρόω",5,"G49570","{'brief': 'I crucify together with', 'long': 'I crucify together with.'}"
"προσπήγνυμι",1,"G43620","{'brief': 'I fasten to', 'long': ""I fasten to, applied to Christ's being fastened to the cross.""}"
"ἀνασταυρόω",1,"G03880","{'brief': 'I crucify again', 'long': 'I impede, crucify (again).'}"
"καταράομαι",5,"G26720","{'brief': 'I curse', 'long': 'I curse.'}"
"καταθεματίζω",1,"G26530","{'brief': 'I curse, devote to destruction', 'long': 'I curse, devote to destruction.'}"
"ἐπάρατος",1,"G18835","{'brief': 'on the top, above, superior to', 'long': '(a) adv: on the top, above, (b) prep: on the top of, above, over, on, above, more than, superior to.'}"
"ἀνάθεμα",5,"G03310","{'brief': 'a curse, a cursed thing', 'long': 'a votive offering, a thing devoted to God; a curse, the thing cursed.'}"
"κατάρα",6,"G26710","{'brief': 'a curse, cursing', 'long': 'cursing; a curse; meton: a doomed one.'}"
"ἐπικατάρατος",2,"G19440","{'brief': 'accursed', 'long': 'on whom a curse has been invoked, accursed, doomed to destruction.'}"
"κατάθεμα",1,"G26520","{'brief': 'a curse, an accursed thing', 'long': 'a curse, an accursed thing.'}"
"δαιμόνιον",63,"G11400","{'brief': 'an evil-spirit, demon', 'long': 'an evil-spirit, demon; a heathen deity.'}"
"δαίμων",1,"G11420","{'brief': 'an evil-spirit, demon', 'long': 'an evil-spirit, demon.'}"
"πνεῦμα",379,"G41510","{'brief': 'wind, breath, spirit', 'long': 'wind, breath, spirit.'}"
"δαιμονίζομαι",13,"G11390","{'brief': 'I am demon-possessed', 'long': 'I am possessed, am under the power of an evil-spirit or demon.'}"
"μαθητής",261,"G31010","{'brief': 'a learner, disciple, pupil', 'long': 'a learner, disciple, pupil.'}"
"μαθητεύω",4,"G31000","{'brief': 'I make disciples, make into disciples', 'long': 'I make a disciple of, train in discipleship; pass: I am trained, discipled, instructed.'}"
"συνμαθητής",1,"G48270","{'brief': 'a fellow-disciple', 'long': 'a fellow disciple.'}"
"μαθήτρια",1,"G31020","{'brief': 'a female disciple', 'long': 'a female disciple, female Christian.'}"
"αἱρετίζω",1,"G01400","{'brief': 'I choose', 'long': 'I choose.'}"
"ἐκλεκτός",22,"G15880","{'brief': 'chosen, elect, choice, select', 'long': 'chosen out, elect, choice, select, sometimes as subst: of those chosen out by God for the rendering of special service to Him (of the Hebrew race, particular Hebrews, the Messiah, and the Christians).'}"
"ἐκλέγω",22,"G15860","{'brief': 'I choose, elect', 'long': 'I pick out for myself, choose, elect, select.'}"
"ἐκλογή",7,"G15890","{'brief': 'a choosing out, selecting, choice by God', 'long': 'a choosing out, selecting, choice (by God).'}"
"χειροτονέω",1,"G55000","{'brief': 'I choose by vote, appoint', 'long': 'I elect by show of hands, choose by vote, appoint.'}"
"αἱρέω",3,"G01380","{'brief': 'I choose, prefer', 'long': 'I choose, prefer.'}"
"θέλω",8,"G23090","{'brief': 'I will, wish, desire', 'long': 'I will, wish, desire, am willing, intend, design.'}"
"βούλομαι",1,"G10140","{'brief': 'I will, intend, desire', 'long': 'I will, intend, desire, wish.'}"
"συνεκλεκτός",1,"G48990","{'brief': 'fellow-elect', 'long': 'fellow-elect, fellow-chosen.'}"
"αἰώνιος",67,"G01660","{'brief': 'eternal, unending', 'long': 'age-long, and therefore: practically eternal, unending; partaking of the character of that which lasts for an age, as contrasted with that which is brief and fleeting.'}"
"αἰών",55,"G01650","{'brief': 'an age, a cycle of time', 'long': 'an age, a cycle (of time), especially of the present age as contrasted with the future age, and of one of a series of ages stretching to infinity.'}"
"ἀΐδιος",2,"G01260","{'brief': 'eternal', 'long': 'eternal, everlasting.'}"
"εὐνοῦχος",8,"G21350","{'brief': 'a eunuch, keeper of the bed-chamber', 'long': '(a) a chamberlain, keeper of the bed-chamber of an eastern potentate, eunuch, (b) a eunuch, castrated person, or one who voluntarily abstains from marriage.'}"
"εὐνουχίζω",2,"G21340","{'brief': 'emasculate, castrate', 'long': 'I make into a eunuch, emasculate, castrate.'}"
"πονηρός",76,"G41900","{'brief': 'evil, bad, wicked', 'long': 'evil, bad, wicked, malicious, slothful.'}"
"κακία",11,"G25490","{'brief': 'evil, wickedness, malice', 'long': '(a) evil (i.e. trouble, labor, misfortune), (b) wickedness, (c) vicious disposition, malice, spite.'}"
"πονηρότερος",2,"G41910","{'brief': 'more wicked', 'long': 'more wicked.'}"
"κακολογέω",4,"G25510","{'brief': 'I speak evil of, curse', 'long': 'I speak evil of, curse, revile, abuse.'}"
"πονηρία",7,"G41890","{'brief': 'wickedness, iniquities', 'long': 'wickedness, iniquities.'}"
"κακός",50,"G25560","{'brief': 'bad, evil', 'long': 'bad, evil, in the widest sense.'}"
"κακοποιέω",3,"G25540","{'brief': 'I do harm, do wrong', 'long': 'I do harm, do wrong, do evil, commit sin.'}"
"φαῦλος",5,"G53370","{'brief': 'worthless, wicked, base', 'long': 'worthless, wicked, base.'}"
"κακῶς",16,"G25600","{'brief': 'badly, evilly', 'long': 'badly, evilly, wrongly.'}"
"ὁ",827,"G35880","{'brief': 'the', 'long': 'the, the definite article.'}"
"καταλαλέω",1,"G26350","{'brief': 'I speak evil of', 'long': 'I speak evil of, rail at, slander.'}"
"παρανομία",1,"G38920","{'brief': 'a transgression', 'long': 'a transgression, violation of law.'}"
"κακοποιός",3,"G25550","{'brief': 'an evil-doer', 'long': 'doing evil; subst: an evil-doer.'}"
"ὑψόω",16,"G53120","{'brief': 'I lift up, exalt', 'long': '(a) I raise on high, lift up, (b) I exalt, set on high.'}"
"μεγαλύνω",1,"G31700","{'brief': 'I enlarge, magnify, extol', 'long': '(a) I enlarge, lengthen, (b) I increase, magnify, extol.'}"
"ὑψηλός",4,"G53080","{'brief': 'high, lofty', 'long': 'high, lofty.'}"
"ἐπαίρω",1,"G18690","{'brief': 'I raise, lift up', 'long': 'I raise, lift up.'}"
"ὑπερυψόω",1,"G52510","{'brief': 'I highly exalt', 'long': 'I highly exalt.'}"
