"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"535200","2co","7","12","10",",1518794,1518795,",",1319680,1319681,1319682,1319683,1319684,1319685,",1,"[{'id': 1518794, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 11, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GMS,'}, {'id': 1518795, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 12, 'word': 'ἀδικηθέντος', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PAP,GMS,'}]","τοῦ ἀδικηθέντος",2,5,"[{'id': 1319680, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 24, 'word': 'the', 'occurrence': 4}, {'id': 1319681, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 25, 'word': 'one', 'occurrence': 2}, {'id': 1319682, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 26, 'word': 'who', 'occurrence': 2}, {'id': 1319683, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 27, 'word': 'suffered', 'occurrence': 1}, {'id': 1319684, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 28, 'word': 'the', 'occurrence': 5}, {'id': 1319685, 'book_id': '2co', 'chapter': '7', 'verse': '12', 'word_num': 29, 'word': 'wrong', 'occurrence': 2}]","the one who suffered the wrong",6,"τοῦ ἀδικηθέντος = the one who suffered the wrong",0.037037037037037035,0,0
"538683","gal","4","12","10",",1522403,",",1324962,1324963,",0,"[{'id': 1522403, 'book_id': 'gal', 'chapter': '4', 'verse': '12', 'word_num': 12, 'word': 'ἠδικήσατε', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IAA2,,P,'}]","ἠδικήσατε",1,1,"[{'id': 1324962, 'book_id': 'gal', 'chapter': '4', 'verse': '12', 'word_num': 14, 'word': 'You', 'occurrence': 1}, {'id': 1324963, 'book_id': 'gal', 'chapter': '4', 'verse': '12', 'word_num': 15, 'word': 'did', 'occurrence': 1}]","You did",2,"ἠδικήσατε = You did",0.037037037037037035,0,0
"544684","col","3","25","2",",1528596,",",1333421,1333422,1333423,",0,"[{'id': 1528596, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 2, 'word': 'ἀδικῶν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PPA,NMS,'}]","ἀδικῶν",1,2,"[{'id': 1333421, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 2, 'word': 'who', 'occurrence': 1}, {'id': 1333422, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 3, 'word': 'does', 'occurrence': 1}, {'id': 1333423, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 4, 'word': 'unrighteousness', 'occurrence': 1}]","who does unrighteousness",3,"ἀδικῶν = who does unrighteousness",0.037037037037037035,0,0
"544687","col","3","25","5",",1528599,",",1333428,1333429,1333430,1333431,1333432,1333433,",0,"[{'id': 1528599, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 5, 'word': 'ἠδίκησεν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠδίκησεν",1,5,"[{'id': 1333428, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 9, 'word': 'for', 'occurrence': 1}, {'id': 1333429, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 10, 'word': 'the', 'occurrence': 2}, {'id': 1333430, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 11, 'word': 'unrighteousness', 'occurrence': 2}, {'id': 1333431, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 12, 'word': 'that', 'occurrence': 1}, {'id': 1333432, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 13, 'word': 'he', 'occurrence': 1}, {'id': 1333433, 'book_id': 'col', 'chapter': '3', 'verse': '25', 'word_num': 14, 'word': 'did', 'occurrence': 1}]","for the unrighteousness that he did",6,"ἠδίκησεν = for the unrighteousness that he did",0.037037037037037035,0,0
"550885","phm","1","18","2",",1534923,",",1342151,1342152,1342153,",0,"[{'id': 1534923, 'book_id': 'phm', 'chapter': '1', 'verse': '18', 'word_num': 3, 'word': 'ἠδίκησέν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠδίκησέν",1,2,"[{'id': 1342151, 'book_id': 'phm', 'chapter': '1', 'verse': '18', 'word_num': 2, 'word': 'he', 'occurrence': 1}, {'id': 1342152, 'book_id': 'phm', 'chapter': '1', 'verse': '18', 'word_num': 3, 'word': 'has', 'occurrence': 1}, {'id': 1342153, 'book_id': 'phm', 'chapter': '1', 'verse': '18', 'word_num': 4, 'word': 'wronged', 'occurrence': 1}]","he has wronged",3,"ἠδίκησέν = he has wronged",0.037037037037037035,0,0
"559429","2pe","2","13","0",",1543958,",",1355237,1355238,1355239,",0,"[{'id': 1543958, 'book_id': '2pe', 'chapter': '2', 'verse': '13', 'word_num': 0, 'word': 'ἀδικούμενοι', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PPP,NMP,'}]","ἀδικούμενοι",1,2,"[{'id': 1355237, 'book_id': '2pe', 'chapter': '2', 'verse': '13', 'word_num': 0, 'word': 'They', 'occurrence': 1}, {'id': 1355238, 'book_id': '2pe', 'chapter': '2', 'verse': '13', 'word_num': 1, 'word': 'will', 'occurrence': 1}, {'id': 1355239, 'book_id': '2pe', 'chapter': '2', 'verse': '13', 'word_num': 2, 'word': 'receive', 'occurrence': 1}]","They will receive",3,"ἀδικούμενοι = They will receive",0.037037037037037035,0,0
"563344","rev","2","11","11",",1548241,",",1360833,",0,"[{'id': 1548241, 'book_id': 'rev', 'chapter': '2', 'verse': '11', 'word_num': 14, 'word': 'ἀδικηθῇ', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,SAP3,,S,'}]","ἀδικηθῇ",1,0,"[{'id': 1360833, 'book_id': 'rev', 'chapter': '2', 'verse': '11', 'word_num': 20, 'word': 'will', 'occurrence': 1}]","will",1,"ἀδικηθῇ = will",0.037037037037037035,0,0
"564841","rev","6","6","19",",1549920,",",1362950,",0,"[{'id': 1549920, 'book_id': 'rev', 'chapter': '6', 'verse': '6', 'word_num': 25, 'word': 'ἀδικήσῃς', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,SAA2,,S,'}]","ἀδικήσῃς",1,0,"[{'id': 1362950, 'book_id': 'rev', 'chapter': '6', 'verse': '6', 'word_num': 33, 'word': 'harm', 'occurrence': 1}]","harm",1,"ἀδικήσῃς = harm",0.037037037037037035,0,0
"565151","rev","7","2","21",",1550251,",",1363376,1363377,",0,"[{'id': 1550251, 'book_id': 'rev', 'chapter': '7', 'verse': '2', 'word_num': 22, 'word': 'ἀδικῆσαι', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀδικῆσαι",1,1,"[{'id': 1363376, 'book_id': 'rev', 'chapter': '7', 'verse': '2', 'word_num': 33, 'word': 'to', 'occurrence': 2}, {'id': 1363377, 'book_id': 'rev', 'chapter': '7', 'verse': '2', 'word_num': 34, 'word': 'harm', 'occurrence': 1}]","to harm",2,"ἀδικῆσαι = to harm",0.14814814814814814,0,0
"565159","rev","7","3","2",",1550259,",",1363386,",0,"[{'id': 1550259, 'book_id': 'rev', 'chapter': '7', 'verse': '3', 'word_num': 2, 'word': 'ἀδικήσητε', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,SAA2,,P,'}]","ἀδικήσητε",1,0,"[{'id': 1363386, 'book_id': 'rev', 'chapter': '7', 'verse': '3', 'word_num': 3, 'word': 'harm', 'occurrence': 1}]","harm",1,"ἀδικήσητε = harm",0.037037037037037035,0,0
"565831","rev","9","4","3",",1550990,",",1364312,1364313,",0,"[{'id': 1550990, 'book_id': 'rev', 'chapter': '9', 'verse': '4', 'word_num': 5, 'word': 'ἀδικήσουσιν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IFA3,,P,'}]","ἀδικήσουσιν",1,1,"[{'id': 1364312, 'book_id': 'rev', 'chapter': '9', 'verse': '4', 'word_num': 4, 'word': 'they', 'occurrence': 1}, {'id': 1364313, 'book_id': 'rev', 'chapter': '9', 'verse': '4', 'word_num': 5, 'word': 'should', 'occurrence': 1}]","they should",2,"ἀδικήσουσιν = they should",0.037037037037037035,0,0
"565961","rev","9","10","12",",1551135,",",1364482,1364483,",0,"[{'id': 1551135, 'book_id': 'rev', 'chapter': '9', 'verse': '10', 'word_num': 15, 'word': 'ἀδικῆσαι', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀδικῆσαι",1,1,"[{'id': 1364482, 'book_id': 'rev', 'chapter': '9', 'verse': '10', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1364483, 'book_id': 'rev', 'chapter': '9', 'verse': '10', 'word_num': 15, 'word': 'harm', 'occurrence': 1}]","to harm",2,"ἀδικῆσαι = to harm",0.14814814814814814,0,0
"566138","rev","9","19","23",",1551337,",",1364717,1364718,1364719,",0,"[{'id': 1551337, 'book_id': 'rev', 'chapter': '9', 'verse': '19', 'word_num': 26, 'word': 'ἀδικοῦσιν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,IPA3,,P,'}]","ἀδικοῦσιν",1,2,"[{'id': 1364717, 'book_id': 'rev', 'chapter': '9', 'verse': '19', 'word_num': 25, 'word': 'they', 'occurrence': 1}, {'id': 1364718, 'book_id': 'rev', 'chapter': '9', 'verse': '19', 'word_num': 26, 'word': 'injured', 'occurrence': 1}, {'id': 1364719, 'book_id': 'rev', 'chapter': '9', 'verse': '19', 'word_num': 27, 'word': 'people', 'occurrence': 1}]","they injured people",3,"ἀδικοῦσιν = they injured people",0.037037037037037035,0,0
"566530","rev","11","5","3",",1551784,",",1365244,1365245,",0,"[{'id': 1551784, 'book_id': 'rev', 'chapter': '11', 'verse': '5', 'word_num': 5, 'word': 'ἀδικῆσαι', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀδικῆσαι",1,1,"[{'id': 1365244, 'book_id': 'rev', 'chapter': '11', 'verse': '5', 'word_num': 3, 'word': 'to', 'occurrence': 1}, {'id': 1365245, 'book_id': 'rev', 'chapter': '11', 'verse': '5', 'word_num': 4, 'word': 'harm', 'occurrence': 1}]","to harm",2,"ἀδικῆσαι = to harm",0.14814814814814814,0,0
"566544","rev","11","5","17",",1551801,",",1365260,1365261,",0,"[{'id': 1551801, 'book_id': 'rev', 'chapter': '11', 'verse': '5', 'word_num': 22, 'word': 'ἀδικῆσαι', 'occurrence': 2, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀδικῆσαι",1,1,"[{'id': 1365260, 'book_id': 'rev', 'chapter': '11', 'verse': '5', 'word_num': 19, 'word': 'to', 'occurrence': 2}, {'id': 1365261, 'book_id': 'rev', 'chapter': '11', 'verse': '5', 'word_num': 20, 'word': 'harm', 'occurrence': 2}]","to harm",2,"ἀδικῆσαι = to harm",0.14814814814814814,0,0
"571327","rev","22","11","0",",1557132,1557133,",",1371701,1371702,1371703,1371704,1371705,",1,"[{'id': 1557132, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 0, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1557133, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 1, 'word': 'ἀδικῶν', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,PPA,NMS,'}]","ὁ ἀδικῶν",2,4,"[{'id': 1371701, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 0, 'word': 'The', 'occurrence': 1}, {'id': 1371702, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 1, 'word': 'one', 'occurrence': 1}, {'id': 1371703, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 2, 'word': 'who', 'occurrence': 1}, {'id': 1371704, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 3, 'word': 'is', 'occurrence': 1}, {'id': 1371705, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 4, 'word': 'unrighteous', 'occurrence': 1}]","The one who is unrighteous",5,"ὁ ἀδικῶν = The one who is unrighteous",0.037037037037037035,0,0
"571328","rev","22","11","1",",1557134,",",1371706,1371707,",0,"[{'id': 1557134, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 2, 'word': 'ἀδικησάτω', 'occurrence': 1, 'strong': 'G00910', 'lemma': 'ἀδικέω', 'morph': 'Gr,V,MAA3,,S,'}]","ἀδικησάτω",1,1,"[{'id': 1371706, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 5, 'word': 'let', 'occurrence': 1}, {'id': 1371707, 'book_id': 'rev', 'chapter': '22', 'verse': '11', 'word_num': 6, 'word': 'him', 'occurrence': 1}]","let him",2,"ἀδικησάτω = let him",0.037037037037037035,0,0
