"originalWord","lemma","strong","book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTextFrequency","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"Χριστοῦ","χριστός","G55470","1co","1","6","3","τοῦ Χριστοῦ",2,0,"about Christ",2,0,"τοῦ Χριστοῦ = about Christ",0.004,"For Χριστοῦ - Specific alignment ""τοῦ Χριστοῦ = about Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 5%","","","",""
"λέγω","λέγω","G30040","1co","10","15","0","λέγω",1,0,"I speak",2,0,"λέγω = I speak",0.018,"For λέγω - Specific alignment ""λέγω = I speak"" used infrequently: 1.8% out of 225 total alignments, threshold 5%","","","",""
"Θεῷ","θεός","G23160","1co","10","20","10","Θεῷ",1,0,"to God",2,0,"Θεῷ = to God",0.035,"For Θεῷ - Specific alignment ""Θεῷ = to God"" used infrequently: 3.5% out of 171 total alignments, threshold 5%","","","",""
"Κυρίου","κύριος","G29620","1co","10","26","4","Κυρίου",1,0,"Lord s",2,0,"Κυρίου = Lord s",0.017,"For Κυρίου - Specific alignment ""Κυρίου = Lord s"" used infrequently: 1.7% out of 303 total alignments, threshold 5%","","","",""
"λέγω","λέγω","G30040","1co","10","29","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.009,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 5%","","","",""
"Κύριον","κύριος","G29620","1co","10","9","2","τὸν Κύριον",2,0,"Christ",1,0,"τὸν Κύριον = Christ",0.015,"For Κύριον - Specific alignment ""τὸν Κύριον = Christ"" used infrequently: 1.5% out of 65 total alignments, threshold 5%","","","",""
"ἐξουσίαν","ἐξουσία","G18490","1co","11","10","5","ἐξουσίαν",1,0,"a symbol of authority",4,0,"ἐξουσίαν = a symbol of authority",0.018,"For ἐξουσίαν - Specific alignment ""ἐξουσίαν = a symbol of authority"" used infrequently: 1.8% out of 57 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","11","14","7","ἀνὴρ μὲν",2,0,"a man",2,0,"ἀνὴρ μὲν = a man",0.016,"For μὲν - Specific alignment ""ἀνὴρ μὲν = a man"" used infrequently: 1.6% out of 128 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","11","18","1","πρῶτον μὲν",2,0,"in the first place",4,0,"πρῶτον μὲν = in the first place",0.008,"For μὲν - Specific alignment ""πρῶτον μὲν = in the first place"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"δεῖ","δέω","G12100","1co","11","19","1","δεῖ",1,0,"there must",2,0,"δεῖ = there must",0.013,"For δεῖ - Specific alignment ""δεῖ = there must"" used infrequently: 1.3% out of 79 total alignments, threshold 5%","","","",""
"Κυρίου","κύριος","G29620","1co","11","26","11","Κυρίου",1,0,"Lord s",2,0,"Κυρίου = Lord s",0.017,"For Κυρίου - Specific alignment ""Κυρίου = Lord s"" used infrequently: 1.7% out of 303 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","11","7","1","ἀνὴρ μὲν",2,0,"a man",2,0,"ἀνὴρ μὲν = a man",0.016,"For μὲν - Specific alignment ""ἀνὴρ μὲν = a man"" used infrequently: 1.6% out of 128 total alignments, threshold 5%","","","",""
"θέλω","θέλω","G23090","1co","12","1","4","θέλω",1,0,"I do",2,0,"θέλω = I do",0.02,"For θέλω - Specific alignment ""θέλω = I do"" used infrequently: 2.0% out of 49 total alignments, threshold 5%","","","",""
"ἔθνη","ἔθνος","G14840","1co","12","2","4","ἔθνη",1,0,"pagans",1,0,"ἔθνη = pagans",0.019,"For ἔθνη - Specific alignment ""ἔθνη = pagans"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","12","20","2","πολλὰ μὲν",2,0,"there are many",3,0,"πολλὰ μὲν = there are many",0.008,"For μὲν - Specific alignment ""πολλὰ μὲν = there are many"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"δύναται","δύναμαι","G14100","1co","12","21","2","οὐ δύναται δὲ",3,0,"cannot",1,0,"οὐ δύναται δὲ = cannot",0.012,"For δύναται - Specific alignment ""οὐ δύναται δὲ = cannot"" used infrequently: 1.2% out of 81 total alignments, threshold 5%","For δύναται - Too many original language words in alignment: 3, threshold 3","","",""
"σῶμα","σῶμα","G49830","1co","12","27","3","σῶμα",1,0,"the body",2,0,"σῶμα = the body",0.017,"For σῶμα - Specific alignment ""σῶμα = the body"" used infrequently: 1.7% out of 60 total alignments, threshold 5%","","","",""
"Κύριος","κύριος","G29620","1co","12","3","17","Κύριος",1,0,"is Lord",2,0,"Κύριος = is Lord",0.014,"For Κύριος - Specific alignment ""Κύριος = is Lord"" used infrequently: 1.4% out of 138 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","12","8","1","ᾧ μὲν",2,0,"to one",2,0,"ᾧ μὲν = to one",0.008,"For μὲν - Specific alignment ""ᾧ μὲν = to one"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"λόγος","λόγος","G30560","1co","12","8","10","λόγος",1,0,"a word",2,0,"λόγος = a word",0.028,"For λόγος - Specific alignment ""λόγος = a word"" used infrequently: 2.8% out of 71 total alignments, threshold 5%","","","",""
"λόγος","λόγος","G30560","1co","12","8","6","λόγος",1,0,"a word",2,0,"λόγος = a word",0.028,"For λόγος - Specific alignment ""λόγος = a word"" used infrequently: 2.8% out of 71 total alignments, threshold 5%","","","",""
"Πνεύματι","πνεῦμα","G41510","1co","14","15","14","Πνεύματι",1,0,"spirit",1,0,"Πνεύματι = spirit",0.025,"For Πνεύματι - Specific alignment ""Πνεύματι = spirit"" used infrequently: 2.5% out of 79 total alignments, threshold 5%","","","",""
"Πνεύματι","πνεῦμα","G41510","1co","14","15","5","Πνεύματι",1,0,"spirit",1,0,"Πνεύματι = spirit",0.025,"For Πνεύματι - Specific alignment ""Πνεύματι = spirit"" used infrequently: 2.5% out of 79 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","14","17","2","μὲν",1,0,"certainly",1,0,"μὲν = certainly",0.008,"For μὲν - Specific alignment ""μὲν = certainly"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"θέλω","θέλω","G23090","1co","14","19","3","θέλω",1,0,"I would rather",3,0,"θέλω = I would rather",0.02,"For θέλω - Specific alignment ""θέλω = I would rather"" used infrequently: 2.0% out of 49 total alignments, threshold 5%","","","",""
"Θεῷ","θεός","G23160","1co","14","2","8","Θεῷ",1,0,"to God",2,0,"Θεῷ = to God",0.035,"For Θεῷ - Specific alignment ""Θεῷ = to God"" used infrequently: 3.5% out of 171 total alignments, threshold 5%","","","",""
"καρδίας","καρδία","G25880","1co","14","25","2","τῆς καρδίας",2,0,"of",1,0,"τῆς καρδίας = of",0.03,"For καρδίας - Specific alignment ""τῆς καρδίας = of"" used infrequently: 3.0% out of 67 total alignments, threshold 5%","","","",""
"προφητῶν","προφήτης","G43960","1co","14","32","2","προφητῶν",1,0,"of prophets",2,0,"προφητῶν = of prophets",0.048,"For προφητῶν - Specific alignment ""προφητῶν = of prophets"" used infrequently: 4.8% out of 42 total alignments, threshold 5%","","","",""
"λόγον","λόγος","G30560","1co","14","9","6","λόγον",1,0,"speech",1,0,"λόγον = speech",0.007,"For λόγον - Specific alignment ""λόγον = speech"" used infrequently: 0.7% out of 134 total alignments, threshold 5%","","","",""
"Χριστοῦ","χριστός","G55470","1co","15","23","13","τοῦ Χριστοῦ",2,0,"to Christ",2,0,"τοῦ Χριστοῦ = to Christ",0.008,"For Χριστοῦ - Specific alignment ""τοῦ Χριστοῦ = to Christ"" used infrequently: 0.8% out of 255 total alignments, threshold 5%","","","",""
"Θεὸς","θεός","G23160","1co","15","38","0","ὁ δὲ Θεὸς",3,0,"But God",2,0,"ὁ δὲ Θεὸς = But God",0.004,"For Θεὸς - Specific alignment ""ὁ δὲ Θεὸς = But God"" used infrequently: 0.4% out of 239 total alignments, threshold 5%","For Θεὸς - Too many original language words in alignment: 3, threshold 3","","",""
"σῶμα","σῶμα","G49830","1co","15","38","3","σῶμα",1,0,"a body",2,0,"σῶμα = a body",0.033,"For σῶμα - Specific alignment ""σῶμα = a body"" used infrequently: 3.3% out of 60 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","15","39","6","ἄλλη μὲν",2,0,"there is one",3,0,"ἄλλη μὲν = there is one",0.008,"For μὲν - Specific alignment ""ἄλλη μὲν = there is one"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","15","40","11","ἑτέρα μὲν",2,0,"is one kind",3,0,"ἑτέρα μὲν = is one kind",0.008,"For μὲν - Specific alignment ""ἑτέρα μὲν = is one kind"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"σῶμα","σῶμα","G49830","1co","15","44","1","σῶμα",1,0,"a",1,0,"σῶμα = a",0.05,"For σῶμα - Specific alignment ""σῶμα = a"" used infrequently: 5.0% out of 60 total alignments, threshold 5%","","","",""
"σῶμα","σῶμα","G49830","1co","15","44","10","σῶμα",1,0,"a",1,0,"σῶμα = a",0.05,"For σῶμα - Specific alignment ""σῶμα = a"" used infrequently: 5.0% out of 60 total alignments, threshold 5%","","","",""
"σῶμα","σῶμα","G49830","1co","15","44","5","σῶμα",1,0,"a",1,0,"σῶμα = a",0.05,"For σῶμα - Specific alignment ""σῶμα = a"" used infrequently: 5.0% out of 60 total alignments, threshold 5%","","","",""
"πνεῦμα","πνεῦμα","G41510","1co","15","45","14","εἰς πνεῦμα",2,0,"a",1,0,"εἰς πνεῦμα = a",0.019,"For πνεῦμα - Specific alignment ""εἰς πνεῦμα = a"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"πνεῦμα","πνεῦμα","G41510","1co","15","45","16","εἰς πνεῦμα",2,0,"spirit",1,0,"εἰς πνεῦμα = spirit",0.019,"For πνεῦμα - Specific alignment ""εἰς πνεῦμα = spirit"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"γῆς","γῆ","G10930","1co","15","47","4","γῆς",1,0,"the earth",2,0,"γῆς = the earth",0.014,"For γῆς - Specific alignment ""γῆς = the earth"" used infrequently: 1.4% out of 145 total alignments, threshold 5%","","","",""
"λόγος","λόγος","G30560","1co","15","54","15","λόγος",1,0,"saying",1,0,"λόγος = saying",0.028,"For λόγος - Specific alignment ""λόγος = saying"" used infrequently: 2.8% out of 71 total alignments, threshold 5%","","","",""
"Θεῷ","θεός","G23160","1co","15","57","0","τῷ δὲ Θεῷ",3,0,"But",1,0,"τῷ δὲ Θεῷ = But",0.012,"For Θεῷ - Specific alignment ""τῷ δὲ Θεῷ = But"" used infrequently: 1.2% out of 171 total alignments, threshold 5%","For Θεῷ - Too many original language words in alignment: 3, threshold 3","","",""
"χάρις","χάρις","G54850","1co","15","57","1","χάρις",1,0,"thanks be",2,0,"χάρις = thanks be",0.05,"For χάρις - Specific alignment ""χάρις = thanks be"" used infrequently: 5.0% out of 60 total alignments, threshold 5%","","","",""
"Θεῷ","θεός","G23160","1co","15","57","2","τῷ δὲ Θεῷ",3,0,"to God",2,0,"τῷ δὲ Θεῷ = to God",0.012,"For Θεῷ - Specific alignment ""τῷ δὲ Θεῷ = to God"" used infrequently: 1.2% out of 171 total alignments, threshold 5%","For Θεῷ - Too many original language words in alignment: 3, threshold 3","","",""
"γένηται","γίνομαι","G10960","1co","16","10","6","γένηται",1,0,"he might be",3,0,"γένηται = he might be",0.019,"For γένηται - Specific alignment ""γένηται = he might be"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"χάριν","χάρις","G54850","1co","16","3","11","τὴν χάριν",2,0,"gift",1,0,"τὴν χάριν = gift",0.019,"For χάριν - Specific alignment ""τὴν χάριν = gift"" used infrequently: 1.9% out of 52 total alignments, threshold 5%","","","",""
"θέλω","θέλω","G23090","1co","16","7","3","θέλω",1,0,"desire",1,0,"θέλω = desire",0.02,"For θέλω - Specific alignment ""θέλω = desire"" used infrequently: 2.0% out of 49 total alignments, threshold 5%","","","",""
"Πνεύματος","πνεῦμα","G41510","1co","2","13","13","Πνεύματος",1,0,"by the Spirit",3,0,"Πνεύματος = by the Spirit",0.009,"For Πνεύματος - Specific alignment ""Πνεύματος = by the Spirit"" used infrequently: 0.9% out of 113 total alignments, threshold 5%","","","",""
"δύναται","δύναμαι","G14100","1co","2","14","13","καὶ οὐ δύναται",3,0,"He cannot",2,0,"καὶ οὐ δύναται = He cannot",0.012,"For δύναται - Specific alignment ""καὶ οὐ δύναται = He cannot"" used infrequently: 1.2% out of 81 total alignments, threshold 5%","For δύναται - Too many original language words in alignment: 3, threshold 3","","",""
"λόγος","λόγος","G30560","1co","2","4","1","καὶ ὁ λόγος",3,0,"message",1,0,"καὶ ὁ λόγος = message",0.014,"For λόγος - Specific alignment ""καὶ ὁ λόγος = message"" used infrequently: 1.4% out of 71 total alignments, threshold 5%","For λόγος - Too many original language words in alignment: 3, threshold 3","","",""
"Θεοῦ","θεός","G23160","1co","2","5","11","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","2","7","2","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","3","16","6","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","3","17","3","τοῦ Θεοῦ",2,0,"God s",2,0,"τοῦ Θεοῦ = God s",0.029,"For Θεοῦ - Specific alignment ""τοῦ Θεοῦ = God s"" used infrequently: 2.9% out of 712 total alignments, threshold 5%","","","",""
"γένηται","γίνομαι","G10960","1co","3","18","18","γένηται",1,0,"he may become",3,0,"γένηται = he may become",0.019,"For γένηται - Specific alignment ""γένηται = he may become"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"Χριστοῦ","χριστός","G55470","1co","3","23","2","Χριστοῦ",1,0,"Christ s",2,0,"Χριστοῦ = Christ s",0.02,"For Χριστοῦ - Specific alignment ""Χριστοῦ = Christ s"" used infrequently: 2.0% out of 255 total alignments, threshold 5%","","","",""
"Χριστὸς","χριστός","G55470","1co","3","23","4","Χριστὸς",1,0,"Christ is",2,0,"Χριστὸς = Christ is",0.015,"For Χριστὸς - Specific alignment ""Χριστὸς = Christ is"" used infrequently: 1.5% out of 68 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","3","23","5","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"Κύριος","κύριος","G29620","1co","3","5","14","ὁ Κύριος",2,0,"the Lord",2,0,"ὁ Κύριος = the Lord",0.007,"For Κύριος - Specific alignment ""ὁ Κύριος = the Lord"" used infrequently: 0.7% out of 138 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","3","9","2","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","3","9","5","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","3","9","7","Θεοῦ",1,0,"God s",2,0,"Θεοῦ = God s",0.032,"For Θεοῦ - Specific alignment ""Θεοῦ = God s"" used infrequently: 3.2% out of 712 total alignments, threshold 5%","","","",""
"λόγον","λόγος","G30560","1co","4","19","13","λόγον",1,0,"talk",1,0,"λόγον = talk",0.015,"For λόγον - Specific alignment ""λόγον = talk"" used infrequently: 1.5% out of 134 total alignments, threshold 5%","","","",""
"λόγῳ","λόγος","G30560","1co","4","20","6","λόγῳ",1,0,"talk",1,0,"λόγῳ = talk",0.02,"For λόγῳ - Specific alignment ""λόγῳ = talk"" used infrequently: 2.0% out of 49 total alignments, threshold 5%","","","",""
"ἔργον","ἔργον","G20410","1co","5","2","12","τὸ ἔργον",2,0,"deed",1,0,"τὸ ἔργον = deed",0.024,"For ἔργον - Specific alignment ""τὸ ἔργον = deed"" used infrequently: 2.4% out of 41 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","5","3","1","μὲν",1,0,"even though",2,0,"μὲν = even though",0.008,"For μὲν - Specific alignment ""μὲν = even though"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"καλὸν","καλός","G25700","1co","5","6","2","καλὸν",1,0,"is",1,0,"καλὸν = is",0.023,"For καλὸν - Specific alignment ""καλὸν = is"" used infrequently: 2.3% out of 44 total alignments, threshold 5%","","","",""
"Θεοῦ","θεός","G23160","1co","6","11","19","τοῦ Θεοῦ",2,0,"of",1,0,"τοῦ Θεοῦ = of",0.015,"For Θεοῦ - Specific alignment ""τοῦ Θεοῦ = of"" used infrequently: 1.5% out of 712 total alignments, threshold 5%","","","",""
"Θεὸς","θεός","G23160","1co","6","13","7","ὁ δὲ Θεὸς",3,0,"but God",2,0,"ὁ δὲ Θεὸς = but God",0.004,"For Θεὸς - Specific alignment ""ὁ δὲ Θεὸς = but God"" used infrequently: 0.4% out of 239 total alignments, threshold 5%","For Θεὸς - Too many original language words in alignment: 3, threshold 3","","",""
"Θεὸς","θεός","G23160","1co","6","14","0","ὁ δὲ Θεὸς",3,0,"Now God",2,0,"ὁ δὲ Θεὸς = Now God",0.004,"For Θεὸς - Specific alignment ""ὁ δὲ Θεὸς = Now God"" used infrequently: 0.4% out of 239 total alignments, threshold 5%","For Θεὸς - Too many original language words in alignment: 3, threshold 3","","",""
"Κυρίῳ","κύριος","G29620","1co","6","17","3","τῷ Κυρίῳ",2,0,"to the Lord",3,0,"τῷ Κυρίῳ = to the Lord",0.009,"For Κυρίῳ - Specific alignment ""τῷ Κυρίῳ = to the Lord"" used infrequently: 0.9% out of 113 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","6","4","1","μὲν",1,0,"then",1,0,"μὲν = then",0.008,"For μὲν - Specific alignment ""μὲν = then"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"καλὸν","καλός","G25700","1co","7","1","5","καλὸν",1,0,"It is good",3,0,"καλὸν = It is good",0.045,"For καλὸν - Specific alignment ""καλὸν = It is good"" used infrequently: 4.5% out of 44 total alignments, threshold 5%","","","",""
"Κυρίου","κύριος","G29620","1co","7","22","7","Κυρίου",1,0,"the Lord s",3,0,"Κυρίου = the Lord s",0.003,"For Κυρίου - Specific alignment ""Κυρίου = the Lord s"" used infrequently: 0.3% out of 303 total alignments, threshold 5%","","","",""
"Κυρίου","κύριος","G29620","1co","7","25","8","Κυρίου",1,0,"from the Lord",3,0,"Κυρίου = from the Lord",0.01,"For Κυρίου - Specific alignment ""Κυρίου = from the Lord"" used infrequently: 1.0% out of 303 total alignments, threshold 5%","","","",""
"καλὸν","καλός","G25700","1co","7","26","10","καλὸν",1,0,"it is",2,0,"καλὸν = it is",0.045,"For καλὸν - Specific alignment ""καλὸν = it is"" used infrequently: 4.5% out of 44 total alignments, threshold 5%","","","",""
"θέλω","θέλω","G23090","1co","7","32","1","θέλω",1,0,"I would like",3,0,"θέλω = I would like",0.02,"For θέλω - Specific alignment ""θέλω = I would like"" used infrequently: 2.0% out of 49 total alignments, threshold 5%","","","",""
"θέλω","θέλω","G23090","1co","7","7","0","θέλω δὲ",2,0,"I wish that",3,0,"θέλω δὲ = I wish that",0.02,"For θέλω - Specific alignment ""θέλω δὲ = I wish that"" used infrequently: 2.0% out of 49 total alignments, threshold 5%","","","",""
"λέγω","λέγω","G30040","1co","7","8","6","λέγω",1,0,"I say that",3,0,"λέγω = I say that",0.013,"For λέγω - Specific alignment ""λέγω = I say that"" used infrequently: 1.3% out of 225 total alignments, threshold 5%","","","",""
"καλὸν","καλός","G25700","1co","7","8","7","καλὸν",1,0,"it is good",3,0,"καλὸν = it is good",0.045,"For καλὸν - Specific alignment ""καλὸν = it is good"" used infrequently: 4.5% out of 44 total alignments, threshold 5%","","","",""
"δεῖ","δέω","G12100","1co","8","2","9","δεῖ",1,0,"he ought",2,0,"δεῖ = he ought",0.013,"For δεῖ - Specific alignment ""δεῖ = he ought"" used infrequently: 1.3% out of 79 total alignments, threshold 5%","","","",""
"γένηται","γίνομαι","G10960","1co","8","9","6","γένηται",1,0,"become",1,0,"γένηται = become",0.019,"For γένηται - Specific alignment ""γένηται = become"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"ἔργον","ἔργον","G20410","1co","9","1","16","τὸ ἔργον",2,0,"workmanship",1,0,"τὸ ἔργον = workmanship",0.024,"For ἔργον - Specific alignment ""τὸ ἔργον = workmanship"" used infrequently: 2.4% out of 41 total alignments, threshold 5%","","","",""
"λέγει","λέγω","G30040","1co","9","10","1","λέγει",1,0,"is he speaking",3,0,"λέγει = is he speaking",0.003,"For λέγει - Specific alignment ""λέγει = is he speaking"" used infrequently: 0.3% out of 349 total alignments, threshold 5%","","","",""
"γένηται","γίνομαι","G10960","1co","9","15","14","γένηται",1,0,"might be done",3,0,"γένηται = might be done",0.019,"For γένηται - Specific alignment ""γένηται = might be done"" used infrequently: 1.9% out of 53 total alignments, threshold 5%","","","",""
"καλὸν","καλός","G25700","1co","9","15","18","καλὸν",1,0,"it would be better",4,0,"καλὸν = it would be better",0.023,"For καλὸν - Specific alignment ""καλὸν = it would be better"" used infrequently: 2.3% out of 44 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","9","24","7","πάντες μὲν",2,0,"all",1,0,"πάντες μὲν = all",0.008,"For μὲν - Specific alignment ""πάντες μὲν = all"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"μὲν","μέν","G33030","1co","9","25","6","ἐκεῖνοι μὲν",2,0,"they do it",3,0,"ἐκεῖνοι μὲν = they do it",0.008,"For μὲν - Specific alignment ""ἐκεῖνοι μὲν = they do it"" used infrequently: 0.8% out of 128 total alignments, threshold 5%","","","",""
"λέγει","λέγω","G30040","1co","9","8","11","λέγει",1,0,"say",1,0,"λέγει = say",0.017,"For λέγει - Specific alignment ""λέγει = say"" used infrequently: 1.7% out of 349 total alignments, threshold 5%","","","",""
"αἰώνιον","αἰώνιος","G01660","1jn","1","2","11","τὴν αἰώνιον",2,0,"eternal",1,0,"τὴν αἰώνιον = eternal",0.044,"For αἰώνιον - Specific alignment ""τὴν αἰώνιον = eternal"" used infrequently: 4.4% out of 45 total alignments, threshold 5%","","","",""
"Θεὸς","θεός","G23160","1jn","1","5","11","ὅτι ὁ Θεὸς",3,0,"God",1,0,"ὅτι ὁ Θεὸς = God",0.004,"For Θεὸς - Specific alignment ""ὅτι ὁ Θεὸς = God"" used infrequently: 0.4% out of 239 total alignments, threshold 5%","For Θεὸς - Too many original language words in alignment: 3, threshold 3","","",""
"ὄνομα","ὄνομα","G36860","1jn","2","12","8","τὸ ὄνομα",2,0,"of",1,0,"τὸ ὄνομα = of",0.012,"For ὄνομα - Specific alignment ""τὸ ὄνομα = of"" used infrequently: 1.2% out of 84 total alignments, threshold 5%","","","",""
"Πατρὸς","πατήρ","G39620","1jn","2","15","16","τοῦ Πατρὸς",2,0,"of the Father",3,0,"τοῦ Πατρὸς = of the Father",0.021,"For Πατρὸς - Specific alignment ""τοῦ Πατρὸς = of the Father"" used infrequently: 2.1% out of 47 total alignments, threshold 5%","","","",""
"αἰώνιον","αἰώνιος","G01660","1jn","2","25","8","τὴν αἰώνιον",2,0,"eternal",1,0,"τὴν αἰώνιον = eternal",0.044,"For αἰώνιον - Specific alignment ""τὴν αἰώνιον = eternal"" used infrequently: 4.4% out of 45 total alignments, threshold 5%","","","",""
"λέγων","λέγω","G30040","1jn","2","4","0","ὁ λέγων",2,0,"The one who says",4,0,"ὁ λέγων = The one who says",0.006,"For λέγων - Specific alignment ""ὁ λέγων = The one who says"" used infrequently: 0.6% out of 180 total alignments, threshold 5%","","","",""
