"book_id","chapter","verse","alignment_num","orig_lang_keys","target_lang_keys","origWords","origWordsTxt","alignmentOrigWords","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween","warnings"
"1co","1","31","3",",90838,90839,",",119555,119556,119557,119558,119559,","[{'id': 90838, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 3, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 90839, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 4, 'word': 'καυχώμενος', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,PPM,NMS,'}]","ὁ καυχώμενος",2,"[{'id': 119555, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 5, 'word': 'Let', 'occurrence': 1}, {'id': 119556, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 119557, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 7, 'word': 'one', 'occurrence': 1}, {'id': 119558, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 8, 'word': 'who', 'occurrence': 1}, {'id': 119559, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 9, 'word': 'boasts', 'occurrence': 1}]","Let the one who boasts",5,"ὁ καυχώμενος = Let the one who boasts",0.0003417634996582365,1,0,0,"[""Too many target language words in alignment: 5, threshold 5""]"
"1co","1","31","3",",90838,90839,",",119555,119556,119557,119558,119559,","[{'id': 90838, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 3, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 90839, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 4, 'word': 'καυχώμενος', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,PPM,NMS,'}]","ὁ καυχώμενος",2,"[{'id': 119555, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 5, 'word': 'Let', 'occurrence': 1}, {'id': 119556, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 6, 'word': 'the', 'occurrence': 1}, {'id': 119557, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 7, 'word': 'one', 'occurrence': 1}, {'id': 119558, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 8, 'word': 'who', 'occurrence': 1}, {'id': 119559, 'book_id': '1co', 'chapter': '1', 'verse': '31', 'word_num': 9, 'word': 'boasts', 'occurrence': 1}]","Let the one who boasts",5,"ὁ καυχώμενος = Let the one who boasts",0.5,1,0,0,"[""Too many target language words in alignment: 5, threshold 5""]"
"1co","1","8","7",",90460,",",119053,119054,119055,119056,119057,119058,","[{'id': 90460, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 6, 'word': 'ἀνεγκλήτους', 'occurrence': 1, 'strong': 'G04100', 'lemma': 'ἀνέγκλητος', 'morph': 'Gr,NS,,,,AMP,'}]","ἀνεγκλήτους",1,"[{'id': 119053, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 8, 'word': 'so', 'occurrence': 1}, {'id': 119054, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 9, 'word': 'that', 'occurrence': 1}, {'id': 119055, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 10, 'word': 'you', 'occurrence': 2}, {'id': 119056, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 11, 'word': 'will', 'occurrence': 2}, {'id': 119057, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 12, 'word': 'be', 'occurrence': 1}, {'id': 119058, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 13, 'word': 'blameless', 'occurrence': 1}]","so that you will be blameless",6,"ἀνεγκλήτους = so that you will be blameless",0.5,1,0,0,"[""Too many target language words in alignment: 6, threshold 5""]"
"1co","10","13","27",",93928,93929,",",124024,124025,124026,124027,124028,124029,","[{'id': 93928, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 27, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GNS,'}, {'id': 93929, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 28, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","τοῦ δύνασθαι",2,"[{'id': 124024, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 40, 'word': 'so', 'occurrence': 1}, {'id': 124025, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 41, 'word': 'that', 'occurrence': 1}, {'id': 124026, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 42, 'word': 'you', 'occurrence': 4}, {'id': 124027, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 43, 'word': 'will', 'occurrence': 3}, {'id': 124028, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 44, 'word': 'be', 'occurrence': 2}, {'id': 124029, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 45, 'word': 'able', 'occurrence': 2}]","so that you will be able",6,"τοῦ δύνασθαι = so that you will be able",0.00037650602409638556,1,0,0,"[""Too many target language words in alignment: 6, threshold 5""]"
"1co","10","13","27",",93928,93929,",",124024,124025,124026,124027,124028,124029,","[{'id': 93928, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 27, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GNS,'}, {'id': 93929, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 28, 'word': 'δύνασθαι', 'occurrence': 1, 'strong': 'G14100', 'lemma': 'δύναμαι', 'morph': 'Gr,V,NPM,,,,,'}]","τοῦ δύνασθαι",2,"[{'id': 124024, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 40, 'word': 'so', 'occurrence': 1}, {'id': 124025, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 41, 'word': 'that', 'occurrence': 1}, {'id': 124026, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 42, 'word': 'you', 'occurrence': 4}, {'id': 124027, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 43, 'word': 'will', 'occurrence': 3}, {'id': 124028, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 44, 'word': 'be', 'occurrence': 2}, {'id': 124029, 'book_id': '1co', 'chapter': '10', 'verse': '13', 'word_num': 45, 'word': 'able', 'occurrence': 2}]","so that you will be able",6,"τοῦ δύνασθαι = so that you will be able",0.1111111111111111,1,0,0,"[""Too many target language words in alignment: 6, threshold 5""]"
"1co","10","9","7",",93860,",",123919,123920,123921,123922,123923,","[{'id': 93860, 'book_id': '1co', 'chapter': '10', 'verse': '9', 'word_num': 7, 'word': 'ἐπείρασαν', 'occurrence': 1, 'strong': 'G39850', 'lemma': 'πειράζω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐπείρασαν",1,"[{'id': 123919, 'book_id': '1co', 'chapter': '10', 'verse': '9', 'word_num': 11, 'word': 'put', 'occurrence': 2}, {'id': 123920, 'book_id': '1co', 'chapter': '10', 'verse': '9', 'word_num': 12, 'word': 'him', 'occurrence': 1}, {'id': 123921, 'book_id': '1co', 'chapter': '10', 'verse': '9', 'word_num': 13, 'word': 'to', 'occurrence': 2}, {'id': 123922, 'book_id': '1co', 'chapter': '10', 'verse': '9', 'word_num': 14, 'word': 'the', 'occurrence': 2}, {'id': 123923, 'book_id': '1co', 'chapter': '10', 'verse': '9', 'word_num': 15, 'word': 'test', 'occurrence': 2}]","put him to the test",5,"ἐπείρασαν = put him to the test",0.5,1,0,0,"[""Too many target language words in alignment: 5, threshold 5""]"
"1co","11","21","1",",94496,94497,94498,",",124870,124871,124872,124873,124874,124875,124876,","[{'id': 94496, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 6, 'word': 'ἐν', 'occurrence': 1, 'strong': 'G17220', 'lemma': 'ἐν', 'morph': 'Gr,P,,,,,D,,,'}, {'id': 94497, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 7, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DNS,'}, {'id': 94498, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 8, 'word': 'φαγεῖν', 'occurrence': 1, 'strong': 'G20680', 'lemma': 'ἐσθίω', 'morph': 'Gr,V,NAA,,,,,'}]","ἐν τῷ φαγεῖν",3,"[{'id': 124870, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 1, 'word': 'when', 'occurrence': 1}, {'id': 124871, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 2, 'word': 'it', 'occurrence': 1}, {'id': 124872, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 3, 'word': 'is', 'occurrence': 1}, {'id': 124873, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 4, 'word': 'time', 'occurrence': 1}, {'id': 124874, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 5, 'word': 'to', 'occurrence': 1}, {'id': 124875, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 6, 'word': 'eat', 'occurrence': 1}, {'id': 124876, 'book_id': '1co', 'chapter': '11', 'verse': '21', 'word_num': 7, 'word': 'each', 'occurrence': 1}]","when it is time to eat each",7,"ἐν τῷ φαγεῖν = when it is time to eat each",0.0007575757575757576,1,0,0,"[""Too many original language words in alignment: 3, threshold 3"", ""Too many target language words in alignment: 7, threshold 5""]"
"1co","11","5","17",",94274,94275,",",124548,124549,124550,124551,124552,","[{'id': 94274, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 19, 'word': 'τῇ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DFS,'}, {'id': 94275, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 20, 'word': 'ἐξυρημένῃ', 'occurrence': 1, 'strong': 'G35870', 'lemma': 'ξυράω', 'morph': 'Gr,V,PEP,DFS,'}]","τῇ ἐξυρημένῃ",2,"[{'id': 124548, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 22, 'word': 'as', 'occurrence': 1}, {'id': 124549, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 23, 'word': 'having', 'occurrence': 1}, {'id': 124550, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 24, 'word': 'her', 'occurrence': 3}, {'id': 124551, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 25, 'word': 'head', 'occurrence': 3}, {'id': 124552, 'book_id': '1co', 'chapter': '11', 'verse': '5', 'word_num': 26, 'word': 'shaved', 'occurrence': 1}]","as having her head shaved",5,"τῇ ἐξυρημένῃ = as having her head shaved",0.0011013215859030838,1,0,0,"[""Too many target language words in alignment: 5, threshold 5""]"
"1co","11","6","12",",94287,94288,",",124577,124578,124579,124580,124581,124582,","[{'id': 94287, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 11, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NNS,'}, {'id': 94288, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 12, 'word': 'κείρασθαι', 'occurrence': 1, 'strong': 'G27510', 'lemma': 'κείρω', 'morph': 'Gr,V,NAM,,,,,'}]","τὸ κείρασθαι",2,"[{'id': 124577, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 24, 'word': 'to', 'occurrence': 1}, {'id': 124578, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 25, 'word': 'have', 'occurrence': 1}, {'id': 124579, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 26, 'word': 'her', 'occurrence': 3}, {'id': 124580, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 27, 'word': 'hair', 'occurrence': 2}, {'id': 124581, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 28, 'word': 'cut', 'occurrence': 2}, {'id': 124582, 'book_id': '1co', 'chapter': '11', 'verse': '6', 'word_num': 29, 'word': 'off', 'occurrence': 2}]","to have her hair cut off",6,"τὸ κείρασθαι = to have her hair cut off",0.0005837711617046118,1,0,0,"[""Too many target language words in alignment: 6, threshold 5""]"
"1co","12","10","7",",94854,",",125373,125374,125375,125376,125377,","[{'id': 94854, 'book_id': '1co', 'chapter': '12', 'verse': '10', 'word_num': 7, 'word': 'διακρίσεις', 'occurrence': 1, 'strong': 'G12530', 'lemma': 'διάκρισις', 'morph': 'Gr,N,,,,,NFP,'}]","διακρίσεις",1,"[{'id': 125373, 'book_id': '1co', 'chapter': '12', 'verse': '10', 'word_num': 11, 'word': 'the', 'occurrence': 1}, {'id': 125374, 'book_id': '1co', 'chapter': '12', 'verse': '10', 'word_num': 12, 'word': 'ability', 'occurrence': 1}, {'id': 125375, 'book_id': '1co', 'chapter': '12', 'verse': '10', 'word_num': 13, 'word': 'to', 'occurrence': 4}, {'id': 125376, 'book_id': '1co', 'chapter': '12', 'verse': '10', 'word_num': 14, 'word': 'distinguish', 'occurrence': 1}, {'id': 125377, 'book_id': '1co', 'chapter': '12', 'verse': '10', 'word_num': 15, 'word': 'between', 'occurrence': 1}]","the ability to distinguish between",5,"διακρίσεις = the ability to distinguish between",0.5,1,0,0,"[""Too many target language words in alignment: 5, threshold 5""]"
