"lemma","count","strong","lexicon"
"θαμβέω",3,"G22840","{'brief': 'I amaze', 'long': 'I amaze; pass: I am amazed (almost terrified).'}"
"ἔκστασις",7,"G16110","{'brief': 'bewilderment, amazement', 'long': '(properly: distraction or disturbance of mind caused by shock), bewilderment, amazement; a trance.'}"
"ἐκθαμβέω",3,"G15680","{'brief': 'I am greatly astonished', 'long': 'I am greatly astonished, am awe-struck.'}"
"ἐκθαυμάζω",1,"G15695","{'brief': 'full of astonishment, amazed', 'long': 'full of astonishment, amazed.'}"
"θάμβος",3,"G22850","{'brief': 'astonishment', 'long': 'astonishment, amazement (allied to terror or awe).'}"
"ἔκθαμβος",1,"G15690","{'brief': 'full of astonishment, amazed', 'long': 'full of astonishment, amazed.'}"
"θαῦμα",2,"G22950","{'brief': 'a marvel, wonder', 'long': '(a) concr: a marvel, wonder, (b) abstr: wonder, amazement.'}"
"σποδός",3,"G47000","{'brief': 'ashes', 'long': 'ashes.'}"
"χοῦς",2,"G55220","{'brief': 'dust', 'long': 'earth, soil, dust.'}"
"κονιορτός",5,"G28680","{'brief': 'dust', 'long': 'dust.'}"
"τεφρόω",1,"G50770","{'brief': 'I reduce to ashes', 'long': 'I reduce to ashes, consume, destroy.'}"
"συνάγω",43,"G48630","{'brief': 'I gather together', 'long': 'I gather together, collect, assemble, receive with hospitality, entertain.'}"
"ἐπισυνάγω",3,"G19960","{'brief': 'I collect, gather together', 'long': 'I collect, gather together, assemble.'}"
"συνέρχομαι",24,"G49050","{'brief': 'I come or go with, accompany, assemble', 'long': 'I come or go with, accompany; I come together, assemble.'}"
"σύνειμι",1,"G48960","{'brief': 'I come together', 'long': 'I come together.'}"
"ἀθροίζω",1,"G01195","{'brief': 'a contest', 'long': 'a struggling (as in an athletic contest).'}"
"συναλίζω",1,"G48710","{'brief': 'I am assembled together with', 'long': 'I am assembled together with.'}"
"συνκαλέω",1,"G47790","{'brief': 'I call together', 'long': 'I call together.'}"
"ἐκκλησία",82,"G15770","{'brief': 'an assembly, congregation, church', 'long': 'an assembly, congregation, church; the Church, the whole body of Christian believers.'}"
"συναθροίζω",1,"G48670","{'brief': 'I gather together, assemble', 'long': 'I gather together, assemble.'}"
"πανήγυρις",1,"G38310","{'brief': 'a festival assembly', 'long': 'a festival assembly.'}"
"συναγωγή",10,"G48640","{'brief': 'an assembly, congregation, synagogue', 'long': 'an assembly, congregation, synagogue, either the place or the people gathered together in the place.'}"
"πλανάω",39,"G41050","{'brief': 'I lead astray, deceive', 'long': 'I lead astray, deceive, cause to wander.'}"
"διαστρέφω",7,"G12940","{'brief': 'I pervert, corrupt, oppose', 'long': 'I pervert, corrupt, oppose, distort.'}"
"ἀποστρέφω",8,"G06540","{'brief': 'I turn away, restore, reject', 'long': 'I turn away, pervert, remove; I restore, replace; mid: I desert, reject.'}"
"ἀστοχέω",3,"G07950","{'brief': 'I miss the mark, miss my aim, make a false aim', 'long': 'I miss the mark, miss my aim, make a false aim, fail.'}"
"ἀξίνη",2,"G05130","{'brief': 'an axe', 'long': 'an axe.'}"
"μόδιος",3,"G34260","{'brief': 'a dry measure, nearly two English gallons', 'long': 'a dry measure, nearly two English gallons.'}"
"κόφινος",6,"G28940","{'brief': 'a large basket', 'long': 'a large basket.'}"
"σπυρίς",5,"G47110","{'brief': 'a plaited basket', 'long': 'a plaited basket.'}"
"σαργάνη",1,"G45530","{'brief': 'a basket', 'long': 'a basket, generally of twisted cords.'}"
"τίκτω",3,"G50880","{'brief': 'I bear, bring forth, produce', 'long': 'I bear, bring forth, produce, beget, yield.'}"
"βαστάζω",25,"G09410","{'brief': 'I carry, carry away, bear', 'long': '(a) I carry, bear, (b) I carry (take) away.'}"
"αἴρω",2,"G01420","{'brief': 'I raise, lift up', 'long': 'I raise, lift up, take away, remove.'}"
"ἀνέχω",15,"G04300","{'brief': 'I endure, bear with', 'long': 'I endure, bear with, have patience with, suffer, admit, persist.'}"
"γεννάω",51,"G10800","{'brief': 'I beget, bring forth, give birth to', 'long': 'I beget (of the male), (of the female) I bring forth, give birth to.'}"
"ποιέω",149,"G41600","{'brief': 'I do, make', 'long': '(a) I make, manufacture, construct, (b) I do, act, cause.'}"
"φέρω",21,"G53420","{'brief': 'I carry, bear, bring, lead', 'long': 'I carry, bear, bring; I conduct, lead; perhaps: I make publicly known.'}"
"στέγω",4,"G47220","{'brief': 'I cover, conceal, bear with', 'long': 'I cover, conceal, ward off, bear with, endure patiently.'}"
"φορέω",2,"G54090","{'brief': 'I carry, wear', 'long': 'I carry, wear, bear constantly.'}"
"τεκνογονέω",1,"G50410","{'brief': 'I bear children', 'long': 'I bear children, beget, rear a family.'}"
"ἀναφέρω",1,"G03990","{'brief': 'I carry up, lead up, offer up', 'long': '(a) I carry up, lead up, (b) I offer up (on a high altar) as a sacrifice, offer up to God on high.'}"
"παρακαλέω",91,"G38700","{'brief': 'I summon, entreat, admonish, comfort', 'long': '(a) I send for, summon, invite, (b) I beseech, entreat, beg, (c) I exhort, admonish, (d) I comfort, encourage, console.'}"
"προσαίτης",2,"G43195","{'brief': 'I beg', 'long': 'I beg, ask earnestly, ask for in addition.'}"
"αἰτέω",4,"G01540","{'brief': 'I ask, request, beg, petition', 'long': 'I ask, request, petition, demand.'}"
"δέω",13,"G12100","{'brief': 'I bind', 'long': 'I bind, tie, fasten; I impel, compel; I declare to be prohibited and unlawful.'}"
"ἐρωτάω",13,"G20650","{'brief': 'I ask, question, request', 'long': '(a) I ask (a question), question, (b) I request, make a request to, pray.'}"
"ἐπαιτέω",2,"G18710","{'brief': 'I beg, ask alms', 'long': 'I beg, am a beggar, ask alms.'}"
"προσαιτέω",1,"G43190","{'brief': 'I beg', 'long': 'I beg, ask earnestly, ask for in addition.'}"
"ἐντυγχάνω",4,"G17930","{'brief': 'I meet, encounter, call upon, make a petition', 'long': '(a) I meet, encounter, hence: (b) I call (upon), make a petition, make suit, supplication.'}"
"παραδίδωμι",86,"G38600","{'brief': 'I hand over, deliver, betray', 'long': 'I hand over, pledge, hand down, deliver, commit, commend, betray, abandon.'}"
"προδότης",3,"G42730","{'brief': 'a betrayer', 'long': 'a betrayer, traitor.'}"
"ἡμέρα",388,"G22500","{'brief': 'a day', 'long': 'a day, the period from sunrise to sunset.'}"
"σήμερον",40,"G45940","{'brief': 'today, now', 'long': 'today, now.'}"
"ὥρα",106,"G56100","{'brief': 'an hour, season', 'long': '(a) a definite space of time, a season, (b) an hour, (c) the particular time for anything.'}"
"ἔτος",49,"G20940","{'brief': 'a year', 'long': 'a year.'}"
"ἐνιαυτός",12,"G17630","{'brief': 'a year', 'long': 'a year, cycle of time.'}"
"πίπτω",67,"G40980","{'brief': 'I fall, fall under', 'long': 'I fall, fall under (as under condemnation), fall prostrate.'}"
"προσκυνέω",17,"G43520","{'brief': 'I worship', 'long': 'I go down on my knees to, do obeisance to, worship.'}"
"γονυπετέω",1,"G11200","{'brief': 'I fall on my knees before, supplicate, entreat', 'long': 'I fall on my knees before (in supplication), supplicate, entreat.'}"
"προσπίπτω",7,"G43630","{'brief': 'I fall down before, beat against', 'long': '(a) I fall down before, (b) I beat against, rush violently upon.'}"
"κλίνω",2,"G28270","{'brief': 'I rest, recline, make to yield', 'long': 'trans: I rest, recline; I bend, incline; I cause to give ground, make to yield; intrans: I decline, approach my end.'}"
"τίθημι",7,"G50870","{'brief': 'I put, place', 'long': 'I put, place, lay, set, fix, establish.'}"
"κάμπτω",4,"G25780","{'brief': 'I bend, bow', 'long': 'I bend, bow.'}"
"συνκάμπτω",1,"G47810","{'brief': 'I oppress, bend together', 'long': 'I oppress, bend together.'}"
"ἄρτος",97,"G07400","{'brief': 'bread, a loaf, food', 'long': 'bread, a loaf, food.'}"
"νυμφίος",16,"G35660","{'brief': 'a bridegroom', 'long': 'a bridegroom.'}"
"φορτίζω",2,"G54120","{'brief': 'I load, burden', 'long': 'I load, burden; pass: I am laden.'}"
"φορτίον",5,"G54130","{'brief': 'a burden, freight', 'long': 'a burden; the freight of a ship.'}"
"βάρος",6,"G09220","{'brief': 'a weight, burden', 'long': 'a weight, burden, lit. or met.'}"
"βαρέω",6,"G09160","{'brief': 'I weight, load, burden', 'long': 'I weight, load, burden, lit. and met.'}"
"ἐπιβαρέω",3,"G19120","{'brief': 'I burden', 'long': 'I put a burden on, am burdensome.'}"
"καταναρκάω",3,"G26550","{'brief': 'I burden, encumber', 'long': '(properly a medical term: I stupefy, hence) I burden, encumber.'}"
"καταβαρέω",1,"G25990","{'brief': 'I burden, oppress', 'long': 'I burden, oppress, weigh down.'}"
"σωρεύω",1,"G49870","{'brief': 'I heap up, load', 'long': 'I heap up, load.'}"
"βαρύς",2,"G09260","{'brief': 'heavy, weighty, burdensome', 'long': 'heavy, weighty, burdensome, lit. and met; violent, oppressive.'}"
"θάπτω",11,"G22900","{'brief': 'I bury', 'long': 'I bury.'}"
"ἐνταφιάζω",2,"G17790","{'brief': 'I embalm, prepare for burial', 'long': 'I embalm, prepare for burial.'}"
"ταφή",1,"G50270","{'brief': 'a burial', 'long': 'a burial, burial place.'}"
"ἐνταφιασμός",2,"G17800","{'brief': 'embalming, preparation of a body for burial', 'long': 'embalming, preparation of a body for burial.'}"
"συγκομίζω",1,"G47920","{'brief': 'I bear away together with', 'long': 'I bear away together with, as in carrying away a corpse.'}"
"συνθάπτω",2,"G49160","{'brief': 'I bury along with', 'long': 'I bury along with.'}"
"κάμηλος",6,"G25740","{'brief': 'a camel', 'long': 'a camel or dromedary.'}"
"ἐκβάλλω",79,"G15440","{'brief': 'I throw, cast, put out, banish, bring forth, produce', 'long': 'I throw (cast, put) out; I banish; I bring forth, produce.'}"
"ἄχυρον",2,"G08920","{'brief': 'chaff', 'long': 'chaff.'}"
"ἔνδυμα",8,"G17420","{'brief': 'a garment, raiment', 'long': 'a garment, raiment, clothing.'}"
"ἱμάτιον",60,"G24400","{'brief': 'outer garment', 'long': ' a long flowing outer garment, tunic.'}"
"ἐνδύω",28,"G17460","{'brief': 'I put on, clothe', 'long': 'I put on, clothe (another).'}"
"περιβάλλω",17,"G40160","{'brief': 'I cast around, clothe', 'long': 'I cast around, wrap a garment about, put on; hence mid: I put on to myself, clothe myself, dress; I draw (a line).'}"
"ἱματίζω",2,"G24390","{'brief': 'I clothe', 'long': 'I clothe, provide clothing for; pass: I am clothed.'}"
"ἐνδιδύσκω",2,"G17370","{'brief': 'I put on, clothe', 'long': '(somewhat rare) (of clothing: I put on another); mid: I put on (myself).'}"
"ἀμφιέννυμι",2,"G02940","{'brief': 'I put on, clothe', 'long': 'I put on, clothe.'}"
"ἀμφιέζω",1,"G02940","{'brief': 'I put on, clothe', 'long': 'I put on, clothe.'}"
"ἐσθής",4,"G20660","{'brief': 'clothing, raiment', 'long': 'clothing, raiment, vestment, robe.'}"
"ἱματισμός",1,"G24410","{'brief': 'raiment, clothing', 'long': 'a collective word: raiment, clothing.'}"
"ἐπενδύομαι",2,"G19020","{'brief': 'I put on over', 'long': 'I have on over (as a garment); mid: I put on myself in addition.'}"
"ἐκδύω",1,"G15620","{'brief': 'I put off, take off, strip off', 'long': 'I put off, take off, strip off, with acc. of person or garment or both.'}"
"ἐγκομβόομαι",1,"G14630","{'brief': 'I clothe myself', 'long': 'I clothe myself (originally: I tie round in a knot).'}"
"στολή",9,"G47490","{'brief': 'a long robe', 'long': 'a long robe, worn by the upper classes in the East.'}"
"παράκλησις",29,"G38740","{'brief': 'exhortation, entreaty, encouragement, comfort', 'long': 'a calling for, summons, hence: (a) exhortation, (b) entreaty, (c) encouragement, joy, gladness, (d) consolation, comfort.'}"
"παραμυθέομαι",3,"G38880","{'brief': 'I encourage, comfort, console', 'long': 'I encourage, comfort, console, exhort.'}"
"παράκλητος",5,"G38750","{'brief': 'an advocate, comforter, helper, Paraclete', 'long': '(a) an advocate, intercessor, (b) a consoler, comforter, helper, (c) Paraclete.'}"
"παραμυθία",1,"G38890","{'brief': 'encouragement, comfort', 'long': 'encouragement, comfort, consolation, exhortation.'}"
"παραμύθιον",1,"G38900","{'brief': 'comfort, consolation', 'long': 'comfort, consolation, an exhortation, persuasion, encouragement.'}"
"παρηγορία",1,"G39310","{'brief': 'solace, consolation', 'long': 'solace, consolation, comfort.'}"
"παρατίθημι",5,"G39080","{'brief': 'I set before, serve, entrust to', 'long': '(a) I set (especially a meal) before, serve, (b) act. and mid: I deposit with, entrust to, (c) I bring forward, quote as evidence.'}"
"πράσσω",1,"G42380","{'brief': 'I do, fare, require', 'long': 'I do, perform, accomplish; be in any condition, i.e. I fare; I exact, require.'}"
"κατεργάζομαι",2,"G27160","{'brief': 'I work out, produce, accomplish', 'long': 'I effect by labor, achieve, work out, bring about.'}"
"ἔχω",74,"G21920","{'brief': 'I have, hold, possess', 'long': 'I have, hold, possess.'}"
"συνλαμβάνω",11,"G48150","{'brief': 'I seize, apprehend, become pregnant', 'long': 'I seize, apprehend, assist, conceive, become pregnant.'}"
"κοίτη",4,"G28450","{'brief': 'a bed, marriage bed', 'long': '(a) a bed, (b) a marriage bed; plur: repeated (immoral) sexual intercourse.'}"
"καταβολή",11,"G26020","{'brief': 'a foundation, depositing, sowing', 'long': '(a) foundation, (b) depositing, sowing, deposit, technically used of the act of conception.'}"
"κατακαίω",2,"G26180","{'brief': 'I burn up, consume entirely', 'long': 'I burn up, consume entirely.'}"
"ἀναλόω",1,"G03550","{'brief': 'I destroy, annihilate', 'long': 'I destroy, annihilate, expend, consume.'}"
"κατεσθίω",14,"G27190","{'brief': 'I eat till it is finished', 'long': 'I eat up, eat till it is finished, devour, squander, annoy, injure.'}"
"ἀναιρέω",3,"G03370","{'brief': 'I take up, abolish, murder', 'long': 'I take up, take away the life of, make an end of, murder.'}"
"καταναλίσκω",1,"G26540","{'brief': 'I consume utterly', 'long': 'I use up, spend, consume (as with fire).'}"
"σαπρός",8,"G45500","{'brief': 'rotten, useless, corrupt', 'long': 'rotten, useless, corrupt, depraved.'}"
"φθείρω",7,"G53510","{'brief': 'I corrupt, spoil, destroy', 'long': 'I corrupt, spoil, destroy, ruin.'}"
"φθορά",7,"G53560","{'brief': 'corruption, destruction, decay', 'long': 'corruption, destruction, decay, rottenness, decomposition.'}"
"φθαρτός",3,"G53490","{'brief': 'corruptible, perishable', 'long': 'corruptible, perishable.'}"
"διαφθείρω",4,"G13110","{'brief': 'I destroy, waste, corrupt', 'long': 'I destroy, waste; hence met: I corrupt.'}"
"καταφθείρω",1,"G27040","{'brief': 'I destroy, corrupt', 'long': 'I destroy, corrupt.'}"
"μιαίνω",5,"G33920","{'brief': 'I stain, pollute, defile', 'long': 'I stain, pollute, defile, corrupt.'}"
"συνέδριον",22,"G48920","{'brief': 'a council, the Sanhedrin', 'long': 'a council, tribunal; the Sanhedrin, the meeting place of the Sanhedrin.'}"
"συμβούλιον",8,"G48240","{'brief': 'a council, advice', 'long': '(a) a body of advisers (assessors) in a court, a council, (b) abstr: consultation, counsel, advice; resolution, decree.'}"
"βουλευτής",2,"G10100","{'brief': 'a member of a city council, of the Sanhedrin', 'long': 'a member of a city council, in NT of the Sanhedrin at Jerusalem.'}"
"βουλεύω",3,"G10110","{'brief': 'I deliberate, take counsel', 'long': 'I deliberate, take counsel, determine.'}"
"συμβουλεύω",2,"G48230","{'brief': 'I give advice', 'long': 'I give advice, exhort; mid: I take counsel together, consult.'}"
"βουλή",10,"G10120","{'brief': 'counsel, deliberate wisdom', 'long': 'counsel, deliberate wisdom, decree.'}"
"σύμβουλος",1,"G48250","{'brief': 'an adviser, counselor', 'long': 'an adviser, counselor.'}"
"θαρσέω",7,"G22930","{'brief': 'be of good cheer', 'long': 'I am of good courage, good cheer, am bold.'}"
"τολμάω",6,"G51110","{'brief': 'I dare, endure, am bold', 'long': 'I dare, endure, am bold, have courage, make up the mind.'}"
"προτρέπω",1,"G43890","{'brief': 'I encourage, exhort', 'long': 'I encourage, exhort, persuade.'}"
"εὐθυμέω",2,"G21140","{'brief': 'I am cheerful', 'long': 'I keep up spirit, am cheerful, am of good courage.'}"
"εὔθυμος",1,"G21150","{'brief': 'cheerful, having good courage', 'long': 'cheerful, having good courage.'}"
"θάρσος",1,"G22940","{'brief': 'courage', 'long': 'courage, confidence.'}"
"εὐψυχέω",1,"G21740","{'brief': 'I am of good cheer', 'long': 'I am of good cheer.'}"
"στέφανος",18,"G47350","{'brief': 'a crown, garland', 'long': 'a crown, garland, honor, glory.'}"
"στεφανόω",3,"G47370","{'brief': 'I crown, adorn', 'long': 'I crown, adorn, decorate.'}"
"διάδημα",3,"G12380","{'brief': 'a head-wreath, crown', 'long': 'a head-wreath, crown, diadem.'}"
"κλαίω",39,"G27990","{'brief': 'I weep, weep for, mourn', 'long': 'I weep, weep for, mourn, lament.'}"
"βοάω",12,"G09940","{'brief': 'I shout, call aloud', 'long': 'I shout, call aloud, proclaim.'}"
"κράζω",55,"G28960","{'brief': 'I cry aloud, shriek', 'long': 'I cry aloud, shriek.'}"
"κραυγάζω",6,"G29050","{'brief': 'I cry aloud, shout', 'long': 'I cry aloud, shout, exclaim.'}"
"κραυγή",4,"G29060","{'brief': 'a shout, clamor, outcry', 'long': '(a) a shout, cry, clamor, (b) outcry, clamoring against another.'}"
"ἀναβοάω",1,"G03100","{'brief': 'I shout upwards, cry out, raise my voice', 'long': 'I shout upwards, cry out, raise my voice.'}"
"ἀνακράζω",5,"G03490","{'brief': 'I shout aloud', 'long': 'I shout aloud, cry out.'}"
"φωνέω",18,"G54550","{'brief': 'I crow, shout, summon', 'long': 'I give forth a sound, hence: (a) of a cock: I crow, (b) of men: I shout, (c) trans: I call (to myself), summon; I invite, address.'}"
"ἀναβαίνω",7,"G03050","{'brief': 'I go up, mount, ascend', 'long': 'I go up, mount, ascend; of things: I rise, spring up, come up.'}"
"φωνή",140,"G54560","{'brief': 'a sound, noise, voice', 'long': 'a sound, noise, voice, language, dialect.'}"
"ἀναφωνέω",1,"G04000","{'brief': 'I call out, shout', 'long': 'I call out, shout, exclaim.'}"
"ἐπιφωνέω",4,"G20190","{'brief': 'I call out, shout', 'long': 'I call out, shout, clamor at.'}"
"δακρύω",1,"G11450","{'brief': 'I shed tears, week', 'long': 'I shed tears, weep.'}"
"κλαυθμός",9,"G28050","{'brief': 'weeping, lamentation', 'long': 'weeping, lamentation, crying.'}"
"λέγω",500,"G30040","{'brief': 'I say, speak', 'long': '(denoting speech in progress), (a) I say, speak; I mean, mention, tell, (b) I call, name, especially in the pass., (c) I tell, command.'}"
"καταπέτασμα",6,"G26650","{'brief': 'a veil, curtain', 'long': '(lit: that which is spread out downwards, that which hangs down), a curtain, veil, of that which separated the Holy of Holies from the outer parts of the temple at Jerusalem, also of an outer curtain at the entrance to the Holy Place in the same temple.'}"
"ἐκκόπτω",10,"G15810","{'brief': 'I cut out, cut off', 'long': 'I cut out (off, away), remove, prevent.'}"
"σκοτία",17,"G46530","{'brief': 'darkness', 'long': 'darkness; fig: spiritual darkness.'}"
"σκοτεινός",3,"G46520","{'brief': 'full of darkness, dark', 'long': 'full of darkness, dark.'}"
"σκότος",30,"G46550","{'brief': 'darkness', 'long': 'darkness, either physical or moral.'}"
"σκοτίζω",5,"G46540","{'brief': 'I darken', 'long': 'I darken.'}"
"ἐκλείπω",1,"G15870","{'brief': 'I fail utterly, cease, die', 'long': 'I fail, die out, come to an end, am defunct.'}"
"σκοτόω",3,"G46560","{'brief': 'I darken', 'long': '(lit. or met.) I darken.'}"
"γνόφος",1,"G11050","{'brief': 'darkness, gloom', 'long': 'darkness, gloom; a thick cloud.'}"
"αὐχμηρός",1,"G08500","{'brief': 'dingy, dusky, obscure, dark, funereal', 'long': '(poetical, lit: dry and parched; then: squalid and rough), dingy, murky, obscure, dark, funereal.'}"
"ζόφος",4,"G22170","{'brief': 'darkness, murkiness', 'long': 'darkness, murkiness, gloom.'}"
"τελευτή",1,"G50540","{'brief': 'end of life, death', 'long': 'end of life, death.'}"
"τελευτάω",12,"G50530","{'brief': 'I end, finish, die', 'long': 'I end, finish, die, complete.'}"
"θνῄσκω",9,"G23480","{'brief': 'I am dying, am dead', 'long': 'I die, am dying, am dead.'}"
"θάνατος",120,"G22880","{'brief': 'death', 'long': 'death, physical or spiritual.'}"
"νεκρός",129,"G34980","{'brief': 'dead, a corpse', 'long': '(a) adj: dead, lifeless, subject to death, mortal, (b) noun: a dead body, a corpse.'}"
"ἀποθνῄσκω",112,"G05990","{'brief': 'I am dying, am about to die', 'long': 'I am dying, am about to die, wither, decay.'}"
"θανατόω",11,"G22890","{'brief': 'I put to death, subdue', 'long': 'I put to death, subdue; pass: I am in danger of death, am dead to, am rid of, am parted from.'}"
"συναποθνῄσκω",3,"G48800","{'brief': 'I die together with', 'long': 'I die together with.'}"
"ἡμιθανής",1,"G22530","{'brief': 'half-dead', 'long': 'half-dead.'}"
"ἐκψύχω",3,"G16340","{'brief': 'I breathe my last, die, expire', 'long': 'I breathe my last, die, expire.'}"
"νεκρόω",3,"G34990","{'brief': 'I put to death, render weak', 'long': 'lit. and met: I put to death, make as dead; I render weak, impotent.'}"
"νέκρωσις",2,"G35000","{'brief': 'putting to death, lifeless condition', 'long': '(a) putting to death, (b) dead or lifeless condition.'}"
"ἐπιθανάτιος",1,"G19350","{'brief': 'at the point of death, condemned to death', 'long': 'at the point of death, condemned to death.'}"
"κοιμάω",17,"G28370","{'brief': 'I fall asleep, am asleep', 'long': 'I fall asleep, am asleep, sometimes of the sleep of death.'}"
"ἀργός",1,"G06920","{'brief': 'idle, lazy, thoughtless', 'long': 'idle, lazy, thoughtless, unprofitable, injurious.'}"
"θανατηφόρος",1,"G22870","{'brief': 'death-bringing, deadly', 'long': 'death-bringing, deadly.'}"
"φονεύω",2,"G54070","{'brief': 'I murder', 'long': 'I murder, kill.'}"
"ἀπογίνομαι",1,"G05810","{'brief': 'I go out of being, cease to be, die', 'long': 'I am away, am removed from, depart life, die.'}"
"ἀπάτη",7,"G05390","{'brief': 'deceit, deception', 'long': 'deceit, deception, deceitfulness, delusion.'}"
"πλάνος",5,"G41080","{'brief': 'misleading, a deceiver', 'long': 'adj: misleading, deceiving, wandering; as subst: a deceiver, imposter.'}"
"πλάνη",10,"G41060","{'brief': 'a wandering, error', 'long': 'a wandering; fig: deceit, delusion, error, sin.'}"
"δόλος",11,"G13880","{'brief': 'deceit, guile, treachery', 'long': 'deceit, guile, treachery.'}"
"ἀποπλανάω",1,"G06350","{'brief': 'I cause to wander astray, have wandered away', 'long': 'I cause to go astray; pass: I am led astray.'}"
"δολιόω",1,"G13870","{'brief': 'I act deceitfully, deceive', 'long': 'I act deceitfully, deceive, use fraud.'}"
"ἐξαπατάω",6,"G18180","{'brief': 'I deceive thoroughly', 'long': 'I deceive thoroughly.'}"
"φρεναπατάω",1,"G54220","{'brief': 'I deceive the mind', 'long': 'I deceive the mind, impose upon.'}"
"ἀπατάω",3,"G05380","{'brief': 'I deceive, lead into error', 'long': 'I deceive, cheat, lead into error.'}"
"φρεναπάτης",1,"G54230","{'brief': 'a mind-deceiver', 'long': 'a deceiver, seducer.'}"
"παραλογίζομαι",1,"G38840","{'brief': 'I deceive, beguile', 'long': 'I deceive, beguile, reason falsely, mislead.'}"
"ὁμολογέω",3,"G36700","{'brief': 'I confess, profess, acknowledge, praise', 'long': '(a) I promise, agree, (b) I confess, (c) I publicly declare, (d) a Hebraism, I praise, celebrate.'}"
"ἀπαγγέλλω",46,"G05180","{'brief': 'I report, bring a report, announce', 'long': 'I report (from one place to another), bring a report, announce, declare.'}"
"διαγγέλλω",2,"G12290","{'brief': 'I announce throughout, spread the news of', 'long': 'I announce throughout (the world), spread the news of, give notice of, teach.'}"
"ὁρίζω",3,"G37240","{'brief': 'I define, determine, appoint, decree', 'long': 'I separate, mark off by boundaries; I determine, appoint, designate.'}"
"ἀναγγέλλω",14,"G03120","{'brief': 'I announce, make known, report', 'long': 'I bring back word, report; I announce, declare.'}"
"ἐκδιηγέομαι",1,"G15550","{'brief': 'I narrate at length, declare', 'long': 'I narrate at length, declare.'}"
"φάσκω",2,"G53350","{'brief': 'I assert, affirm, profess', 'long': 'I assert, affirm, profess.'}"
"δηλόω",1,"G12130","{'brief': 'I show, make clear, reveal', 'long': 'I show, make clear, reveal.'}"
"λαλέω",1,"G29800","{'brief': 'I speak, say', 'long': '(I talk, chatter in classical Greek, but in NT a more dignified word) I speak, say.'}"
"ἑαυτοῦ",50,"G14380","{'brief': 'himself, herself, itself', 'long': 'himself, herself, itself.'}"
"κοινόω",12,"G28400","{'brief': 'I make unclean, regard as unclean', 'long': 'I make unclean, pollute, desecrate, mid: I regard (treat) as unclean.'}"
"μολύνω",3,"G34350","{'brief': 'I soil, stain, pollute, defile', 'long': 'I soil, stain, pollute, defile, lit. and met.'}"
"σπιλόω",2,"G46950","{'brief': 'I defile, spot', 'long': 'I defile, spot, stain, soil.'}"
"μιασμός",1,"G33940","{'brief': 'the act of pollution, defilement', 'long': 'the act of pollution, defilement.'}"
